"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avmv","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06001400100","CA","06001400100","=""06001400100""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001400200","CA","06001400200","=""06001400200""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001400300","CA","06001400300","=""06001400300""","1.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001400400","CA","06001400400","=""06001400400""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001400500","CA","06001400500","=""06001400500""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001400600","CA","06001400600","=""06001400600""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001400700","CA","06001400700","=""06001400700""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001400800","CA","06001400800","=""06001400800""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001400900","CA","06001400900","=""06001400900""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001401000","CA","06001401000","=""06001401000""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001401100","CA","06001401100","=""06001401100""","1.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001401200","CA","06001401200","=""06001401200""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001401300","CA","06001401300","=""06001401300""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001401400","CA","06001401400","=""06001401400""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001401500","CA","06001401500","=""06001401500""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001401600","CA","06001401600","=""06001401600""","1.3","2017-2021","2020","Census","California (State)"
"Census Tract","06001401700","CA","06001401700","=""06001401700""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001401800","CA","06001401800","=""06001401800""","1.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001402200","CA","06001402200","=""06001402200""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001402400","CA","06001402400","=""06001402400""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001402500","CA","06001402500","=""06001402500""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001402600","CA","06001402600","=""06001402600""","1.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001402700","CA","06001402700","=""06001402700""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001402801","CA","06001402801","=""06001402801""","0.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001402802","CA","06001402802","=""06001402802""","0.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001402900","CA","06001402900","=""06001402900""","0.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001403000","CA","06001403000","=""06001403000""","0.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001403100","CA","06001403100","=""06001403100""","0.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001403301","CA","06001403301","=""06001403301""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001403302","CA","06001403302","=""06001403302""","1.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001403401","CA","06001403401","=""06001403401""","0.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001403402","CA","06001403402","=""06001403402""","0.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001403501","CA","06001403501","=""06001403501""","1.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001403502","CA","06001403502","=""06001403502""","1.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001403600","CA","06001403600","=""06001403600""","1.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001403701","CA","06001403701","=""06001403701""","1.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001403702","CA","06001403702","=""06001403702""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001403800","CA","06001403800","=""06001403800""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001403900","CA","06001403900","=""06001403900""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001404000","CA","06001404000","=""06001404000""","1.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001404101","CA","06001404101","=""06001404101""","1.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001404102","CA","06001404102","=""06001404102""","0.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001404200","CA","06001404200","=""06001404200""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001404300","CA","06001404300","=""06001404300""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001404400","CA","06001404400","=""06001404400""","1.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001404501","CA","06001404501","=""06001404501""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001404502","CA","06001404502","=""06001404502""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001404600","CA","06001404600","=""06001404600""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001404700","CA","06001404700","=""06001404700""","2.2","2017-2021","2020","Census","California (State)"
"Census Tract","06001404800","CA","06001404800","=""06001404800""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001404900","CA","06001404900","=""06001404900""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001405000","CA","06001405000","=""06001405000""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001405100","CA","06001405100","=""06001405100""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001405200","CA","06001405200","=""06001405200""","1.3","2017-2021","2020","Census","California (State)"
"Census Tract","06001405301","CA","06001405301","=""06001405301""","1.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001405302","CA","06001405302","=""06001405302""","0.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001405401","CA","06001405401","=""06001405401""","1.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001405402","CA","06001405402","=""06001405402""","1.3","2017-2021","2020","Census","California (State)"
"Census Tract","06001405500","CA","06001405500","=""06001405500""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001405600","CA","06001405600","=""06001405600""","1.3","2017-2021","2020","Census","California (State)"
"Census Tract","06001405700","CA","06001405700","=""06001405700""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001405800","CA","06001405800","=""06001405800""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001405901","CA","06001405901","=""06001405901""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001405902","CA","06001405902","=""06001405902""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001406000","CA","06001406000","=""06001406000""","1.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001406100","CA","06001406100","=""06001406100""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001406201","CA","06001406201","=""06001406201""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001406202","CA","06001406202","=""06001406202""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001406300","CA","06001406300","=""06001406300""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001406400","CA","06001406400","=""06001406400""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001406500","CA","06001406500","=""06001406500""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001406601","CA","06001406601","=""06001406601""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001406602","CA","06001406602","=""06001406602""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001406700","CA","06001406700","=""06001406700""","1.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001406800","CA","06001406800","=""06001406800""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001406900","CA","06001406900","=""06001406900""","1.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001407000","CA","06001407000","=""06001407000""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001407101","CA","06001407101","=""06001407101""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001407102","CA","06001407102","=""06001407102""","1.5","2017-2021","2020","Census","California (State)"
"Census Tract","06001407200","CA","06001407200","=""06001407200""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001407300","CA","06001407300","=""06001407300""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001407400","CA","06001407400","=""06001407400""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001407500","CA","06001407500","=""06001407500""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001407600","CA","06001407600","=""06001407600""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001407700","CA","06001407700","=""06001407700""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001407800","CA","06001407800","=""06001407800""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001407900","CA","06001407900","=""06001407900""","1.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001408000","CA","06001408000","=""06001408000""","2.0","2017-2021","2020","Census","California (State)"
"Census Tract","06001408100","CA","06001408100","=""06001408100""","2.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001408200","CA","06001408200","=""06001408200""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001408300","CA","06001408300","=""06001408300""","1.9","2017-2021","2020","Census","California (State)"
"Census Tract","06001408400","CA","06001408400","=""06001408400""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001408500","CA","06001408500","=""06001408500""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001408600","CA","06001408600","=""06001408600""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001408700","CA","06001408700","=""06001408700""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001408800","CA","06001408800","=""06001408800""","1.4","2017-2021","2020","Census","California (State)"
"Census Tract","06001408900","CA","06001408900","=""06001408900""","1.6","2017-2021","2020","Census","California (State)"
"Census Tract","06001409000","CA","06001409000","=""06001409000""","2.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001409100","CA","06001409100","=""06001409100""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001409200","CA","06001409200","=""06001409200""","2.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001409300","CA","06001409300","=""06001409300""","1.8","2017-2021","2020","Census","California (State)"
"Census Tract","06001409400","CA","06001409400","=""06001409400""","2.1","2017-2021","2020","Census","California (State)"
"Census Tract","06001409500","CA","06001409500","=""06001409500""","1.7","2017-2021","2020","Census","California (State)"
"Census Tract","06001409600","CA","06001409600","=""06001409600""","1.6","2017-2021","2020","Census","California (State)"
