"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06001400100","CA","06001400100","=""06001400100""","97600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400200","CA","06001400200","=""06001400200""","100600","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400300","CA","06001400300","=""06001400300""","80400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400400","CA","06001400400","=""06001400400""","84100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400500","CA","06001400500","=""06001400500""","78900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400600","CA","06001400600","=""06001400600""","87100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400700","CA","06001400700","=""06001400700""","72500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400800","CA","06001400800","=""06001400800""","71000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001400900","CA","06001400900","=""06001400900""","71900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401000","CA","06001401000","=""06001401000""","76700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401100","CA","06001401100","=""06001401100""","67900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401200","CA","06001401200","=""06001401200""","77000","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401300","CA","06001401300","=""06001401300""","63800","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401400","CA","06001401400","=""06001401400""","63900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401500","CA","06001401500","=""06001401500""","62100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401600","CA","06001401600","=""06001401600""","62200","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401700","CA","06001401700","=""06001401700""","82300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001401800","CA","06001401800","=""06001401800""","68700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402200","CA","06001402200","=""06001402200""","72100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402400","CA","06001402400","=""06001402400""","48500","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402500","CA","06001402500","=""06001402500""","48100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402600","CA","06001402600","=""06001402600""","48700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402700","CA","06001402700","=""06001402700""","75100","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402801","CA","06001402801","=""06001402801""","71400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402802","CA","06001402802","=""06001402802""","39700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001402900","CA","06001402900","=""06001402900""","45300","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001403000","CA","06001403000","=""06001403000""","51400","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001403100","CA","06001403100","=""06001403100""","78900","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
"Census Tract","06001403301","CA","06001403301","=""06001403301""","43700","2020","2020","PolicyMap, QI, BLS, and Census","California (State)"
