"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","729","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","515820","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","480661","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","497457","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","483143","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","363342","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","510053","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","491828","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","487970","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","241125","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","493978","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","375405","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","494329","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","474162","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","467673","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","389182","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","352114","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","490923","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","491297","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","466700","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","467724","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","475648","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","475324","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","466482","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","364273","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","490522","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","569668","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","523154","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","511252","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","570327","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","544251","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","548030","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","548857","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","492342","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","394880","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","543106","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","549753","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","461525","2021","2010","EPA Smart Location Database","California (State)"
