"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06001400100","CA","06001400100","=""06001400100""","224821","2017-2021","2020","Census","California (State)"
"Census Tract","06001400200","CA","06001400200","=""06001400200""","201154","2017-2021","2020","Census","California (State)"
"Census Tract","06001400300","CA","06001400300","=""06001400300""","127333","2017-2021","2020","Census","California (State)"
"Census Tract","06001400400","CA","06001400400","=""06001400400""","146265","2017-2021","2020","Census","California (State)"
"Census Tract","06001400500","CA","06001400500","=""06001400500""","101597","2017-2021","2020","Census","California (State)"
"Census Tract","06001400600","CA","06001400600","=""06001400600""","153527","2017-2021","2020","Census","California (State)"
"Census Tract","06001400700","CA","06001400700","=""06001400700""","105466","2017-2021","2020","Census","California (State)"
"Census Tract","06001400800","CA","06001400800","=""06001400800""","84207","2017-2021","2020","Census","California (State)"
"Census Tract","06001400900","CA","06001400900","=""06001400900""","97125","2017-2021","2020","Census","California (State)"
"Census Tract","06001401000","CA","06001401000","=""06001401000""","128200","2017-2021","2020","Census","California (State)"
"Census Tract","06001401100","CA","06001401100","=""06001401100""","85994","2017-2021","2020","Census","California (State)"
"Census Tract","06001401200","CA","06001401200","=""06001401200""","103824","2017-2021","2020","Census","California (State)"
"Census Tract","06001401300","CA","06001401300","=""06001401300""","91225","2017-2021","2020","Census","California (State)"
"Census Tract","06001401400","CA","06001401400","=""06001401400""","85150","2017-2021","2020","Census","California (State)"
"Census Tract","06001401500","CA","06001401500","=""06001401500""","74167","2017-2021","2020","Census","California (State)"
"Census Tract","06001401600","CA","06001401600","=""06001401600""","71154","2017-2021","2020","Census","California (State)"
"Census Tract","06001401700","CA","06001401700","=""06001401700""","126728","2017-2021","2020","Census","California (State)"
"Census Tract","06001401800","CA","06001401800","=""06001401800""","64304","2017-2021","2020","Census","California (State)"
"Census Tract","06001402200","CA","06001402200","=""06001402200""","106125","2017-2021","2020","Census","California (State)"
"Census Tract","06001402400","CA","06001402400","=""06001402400""","28547","2017-2021","2020","Census","California (State)"
"Census Tract","06001402500","CA","06001402500","=""06001402500""","30074","2017-2021","2020","Census","California (State)"
"Census Tract","06001402600","CA","06001402600","=""06001402600""","40292","2017-2021","2020","Census","California (State)"
"Census Tract","06001402700","CA","06001402700","=""06001402700""","98750","2017-2021","2020","Census","California (State)"
"Census Tract","06001402801","CA","06001402801","=""06001402801""","100735","2017-2021","2020","Census","California (State)"
"Census Tract","06001402802","CA","06001402802","=""06001402802""","15745","2017-2021","2020","Census","California (State)"
"Census Tract","06001402900","CA","06001402900","=""06001402900""","33523","2017-2021","2020","Census","California (State)"
"Census Tract","06001403000","CA","06001403000","=""06001403000""","27774","2017-2021","2020","Census","California (State)"
"Census Tract","06001403100","CA","06001403100","=""06001403100""","125688","2017-2021","2020","Census","California (State)"
"Census Tract","06001403301","CA","06001403301","=""06001403301""","32788","2017-2021","2020","Census","California (State)"
"Census Tract","06001403302","CA","06001403302","=""06001403302""","138750","2017-2021","2020","Census","California (State)"
"Census Tract","06001403401","CA","06001403401","=""06001403401""","70135","2017-2021","2020","Census","California (State)"
"Census Tract","06001403402","CA","06001403402","=""06001403402""","80436","2017-2021","2020","Census","California (State)"
"Census Tract","06001403501","CA","06001403501","=""06001403501""","65909","2017-2021","2020","Census","California (State)"
"Census Tract","06001403502","CA","06001403502","=""06001403502""","84318","2017-2021","2020","Census","California (State)"
"Census Tract","06001403600","CA","06001403600","=""06001403600""","85655","2017-2021","2020","Census","California (State)"
"Census Tract","06001403701","CA","06001403701","=""06001403701""","82009","2017-2021","2020","Census","California (State)"
"Census Tract","06001403702","CA","06001403702","=""06001403702""","117917","2017-2021","2020","Census","California (State)"
"Census Tract","06001403800","CA","06001403800","=""06001403800""","140543","2017-2021","2020","Census","California (State)"
"Census Tract","06001403900","CA","06001403900","=""06001403900""","119641","2017-2021","2020","Census","California (State)"
"Census Tract","06001404000","CA","06001404000","=""06001404000""","87303","2017-2021","2020","Census","California (State)"
"Census Tract","06001404101","CA","06001404101","=""06001404101""","106375","2017-2021","2020","Census","California (State)"
"Census Tract","06001404102","CA","06001404102","=""06001404102""","80000","2017-2021","2020","Census","California (State)"
"Census Tract","06001404200","CA","06001404200","=""06001404200""","200163","2017-2021","2020","Census","California (State)"
"Census Tract","06001404300","CA","06001404300","=""06001404300""","204118","2017-2021","2020","Census","California (State)"
"Census Tract","06001404400","CA","06001404400","=""06001404400""","167765","2017-2021","2020","Census","California (State)"
"Census Tract","06001404501","CA","06001404501","=""06001404501""","211500","2017-2021","2020","Census","California (State)"
"Census Tract","06001404502","CA","06001404502","=""06001404502""","217250","2017-2021","2020","Census","California (State)"
"Census Tract","06001404600","CA","06001404600","=""06001404600""","184183","2017-2021","2020","Census","California (State)"
"Census Tract","06001404700","CA","06001404700","=""06001404700""","215357","2017-2021","2020","Census","California (State)"
"Census Tract","06001404800","CA","06001404800","=""06001404800""","106250","2017-2021","2020","Census","California (State)"
"Census Tract","06001404900","CA","06001404900","=""06001404900""","134500","2017-2021","2020","Census","California (State)"
"Census Tract","06001405000","CA","06001405000","=""06001405000""","141413","2017-2021","2020","Census","California (State)"
"Census Tract","06001405100","CA","06001405100","=""06001405100""","236786","2017-2021","2020","Census","California (State)"
"Census Tract","06001405200","CA","06001405200","=""06001405200""","89828","2017-2021","2020","Census","California (State)"
"Census Tract","06001405301","CA","06001405301","=""06001405301""","105128","2017-2021","2020","Census","California (State)"
"Census Tract","06001405302","CA","06001405302","=""06001405302""","59801","2017-2021","2020","Census","California (State)"
"Census Tract","06001405401","CA","06001405401","=""06001405401""","64432","2017-2021","2020","Census","California (State)"
"Census Tract","06001405402","CA","06001405402","=""06001405402""","58184","2017-2021","2020","Census","California (State)"
"Census Tract","06001405500","CA","06001405500","=""06001405500""","81131","2017-2021","2020","Census","California (State)"
"Census Tract","06001405600","CA","06001405600","=""06001405600""","75142","2017-2021","2020","Census","California (State)"
"Census Tract","06001405700","CA","06001405700","=""06001405700""","69552","2017-2021","2020","Census","California (State)"
"Census Tract","06001405800","CA","06001405800","=""06001405800""","54909","2017-2021","2020","Census","California (State)"
"Census Tract","06001405901","CA","06001405901","=""06001405901""","55945","2017-2021","2020","Census","California (State)"
"Census Tract","06001405902","CA","06001405902","=""06001405902""","60478","2017-2021","2020","Census","California (State)"
"Census Tract","06001406000","CA","06001406000","=""06001406000""","53333","2017-2021","2020","Census","California (State)"
"Census Tract","06001406100","CA","06001406100","=""06001406100""","54560","2017-2021","2020","Census","California (State)"
"Census Tract","06001406201","CA","06001406201","=""06001406201""","56702","2017-2021","2020","Census","California (State)"
"Census Tract","06001406202","CA","06001406202","=""06001406202""","51591","2017-2021","2020","Census","California (State)"
"Census Tract","06001406300","CA","06001406300","=""06001406300""","50259","2017-2021","2020","Census","California (State)"
"Census Tract","06001406400","CA","06001406400","=""06001406400""","58125","2017-2021","2020","Census","California (State)"
"Census Tract","06001406500","CA","06001406500","=""06001406500""","60774","2017-2021","2020","Census","California (State)"
"Census Tract","06001406601","CA","06001406601","=""06001406601""","64271","2017-2021","2020","Census","California (State)"
"Census Tract","06001406602","CA","06001406602","=""06001406602""","51813","2017-2021","2020","Census","California (State)"
"Census Tract","06001406700","CA","06001406700","=""06001406700""","129519","2017-2021","2020","Census","California (State)"
"Census Tract","06001406800","CA","06001406800","=""06001406800""","128299","2017-2021","2020","Census","California (State)"
"Census Tract","06001406900","CA","06001406900","=""06001406900""","124732","2017-2021","2020","Census","California (State)"
"Census Tract","06001407000","CA","06001407000","=""06001407000""","76296","2017-2021","2020","Census","California (State)"
"Census Tract","06001407101","CA","06001407101","=""06001407101""","43496","2017-2021","2020","Census","California (State)"
"Census Tract","06001407102","CA","06001407102","=""06001407102""","78194","2017-2021","2020","Census","California (State)"
"Census Tract","06001407200","CA","06001407200","=""06001407200""","53786","2017-2021","2020","Census","California (State)"
"Census Tract","06001407300","CA","06001407300","=""06001407300""","63875","2017-2021","2020","Census","California (State)"
"Census Tract","06001407400","CA","06001407400","=""06001407400""","51029","2017-2021","2020","Census","California (State)"
"Census Tract","06001407500","CA","06001407500","=""06001407500""","37377","2017-2021","2020","Census","California (State)"
"Census Tract","06001407600","CA","06001407600","=""06001407600""","83479","2017-2021","2020","Census","California (State)"
"Census Tract","06001407700","CA","06001407700","=""06001407700""","104615","2017-2021","2020","Census","California (State)"
"Census Tract","06001407800","CA","06001407800","=""06001407800""","74412","2017-2021","2020","Census","California (State)"
"Census Tract","06001407900","CA","06001407900","=""06001407900""","128906","2017-2021","2020","Census","California (State)"
"Census Tract","06001408000","CA","06001408000","=""06001408000""","158698","2017-2021","2020","Census","California (State)"
"Census Tract","06001408100","CA","06001408100","=""06001408100""","157969","2017-2021","2020","Census","California (State)"
"Census Tract","06001408200","CA","06001408200","=""06001408200""","77078","2017-2021","2020","Census","California (State)"
"Census Tract","06001408300","CA","06001408300","=""06001408300""","120417","2017-2021","2020","Census","California (State)"
"Census Tract","06001408400","CA","06001408400","=""06001408400""","61607","2017-2021","2020","Census","California (State)"
"Census Tract","06001408500","CA","06001408500","=""06001408500""","60703","2017-2021","2020","Census","California (State)"
"Census Tract","06001408600","CA","06001408600","=""06001408600""","57667","2017-2021","2020","Census","California (State)"
"Census Tract","06001408700","CA","06001408700","=""06001408700""","55405","2017-2021","2020","Census","California (State)"
"Census Tract","06001408800","CA","06001408800","=""06001408800""","33507","2017-2021","2020","Census","California (State)"
"Census Tract","06001408900","CA","06001408900","=""06001408900""","46375","2017-2021","2020","Census","California (State)"
