"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pfamsnap","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06001400100","CA","06001400100","=""06001400100""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001400200","CA","06001400200","=""06001400200""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001400300","CA","06001400300","=""06001400300""","0.00","2017-2021","2020","Census","California (State)"
"Census Tract","06001400400","CA","06001400400","=""06001400400""","6.75","2017-2021","2020","Census","California (State)"
"Census Tract","06001400500","CA","06001400500","=""06001400500""","1.26","2017-2021","2020","Census","California (State)"
"Census Tract","06001400600","CA","06001400600","=""06001400600""","10.76","2017-2021","2020","Census","California (State)"
"Census Tract","06001400700","CA","06001400700","=""06001400700""","13.28","2017-2021","2020","Census","California (State)"
"Census Tract","06001400800","CA","06001400800","=""06001400800""","10.72","2017-2021","2020","Census","California (State)"
"Census Tract","06001400900","CA","06001400900","=""06001400900""","8.02","2017-2021","2020","Census","California (State)"
"Census Tract","06001401000","CA","06001401000","=""06001401000""","7.01","2017-2021","2020","Census","California (State)"
"Census Tract","06001401100","CA","06001401100","=""06001401100""","22.57","2017-2021","2020","Census","California (State)"
"Census Tract","06001401200","CA","06001401200","=""06001401200""","4.63","2017-2021","2020","Census","California (State)"
"Census Tract","06001401300","CA","06001401300","=""06001401300""","11.07","2017-2021","2020","Census","California (State)"
"Census Tract","06001401400","CA","06001401400","=""06001401400""","14.03","2017-2021","2020","Census","California (State)"
"Census Tract","06001401500","CA","06001401500","=""06001401500""","21.95","2017-2021","2020","Census","California (State)"
"Census Tract","06001401600","CA","06001401600","=""06001401600""","20.05","2017-2021","2020","Census","California (State)"
"Census Tract","06001401700","CA","06001401700","=""06001401700""","3.83","2017-2021","2020","Census","California (State)"
"Census Tract","06001401800","CA","06001401800","=""06001401800""","15.77","2017-2021","2020","Census","California (State)"
"Census Tract","06001402200","CA","06001402200","=""06001402200""","17.83","2017-2021","2020","Census","California (State)"
