"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","060014001001","CA","060014001001","=""060014001001""","1192.26","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002001","CA","060014002001","=""060014002001""","433.18","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014002002","CA","060014002002","=""060014002002""","211.90","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003001","CA","060014003001","=""060014003001""","270.91","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003002","CA","060014003002","=""060014003002""","449.28","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003003","CA","060014003003","=""060014003003""","337.96","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014003004","CA","060014003004","=""060014003004""","407.70","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004001","CA","060014004001","=""060014004001""","144.84","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004002","CA","060014004002","=""060014004002""","215.92","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014004003","CA","060014004003","=""060014004003""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005001","CA","060014005001","=""060014005001""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005002","CA","060014005002","=""060014005002""","364.78","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014005003","CA","060014005003","=""060014005003""","257.50","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006001","CA","060014006001","=""060014006001""","160.93","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014006002","CA","060014006002","=""060014006002""","134.11","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007001","CA","060014007001","=""060014007001""","246.77","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007002","CA","060014007002","=""060014007002""","223.97","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007003","CA","060014007003","=""060014007003""","301.75","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014007004","CA","060014007004","=""060014007004""","308.46","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008001","CA","060014008001","=""060014008001""","284.32","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008002","CA","060014008002","=""060014008002""","250.79","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014008003","CA","060014008003","=""060014008003""","371.49","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009001","CA","060014009001","=""060014009001""","341.99","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014009002","CA","060014009002","=""060014009002""","229.33","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010001","CA","060014010001","=""060014010001""","367.47","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010002","CA","060014010002","=""060014010002""","222.63","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010003","CA","060014010003","=""060014010003""","81.81","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010004","CA","060014010004","=""060014010004""","240.06","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010005","CA","060014010005","=""060014010005""","219.94","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014010006","CA","060014010006","=""060014010006""","173.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011001","CA","060014011001","=""060014011001""","254.81","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011002","CA","060014011002","=""060014011002""","194.46","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011003","CA","060014011003","=""060014011003""","312.48","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014011004","CA","060014011004","=""060014011004""","190.44","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012001","CA","060014012001","=""060014012001""","258.84","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012002","CA","060014012002","=""060014012002""","287.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014012003","CA","060014012003","=""060014012003""","321.87","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013001","CA","060014013001","=""060014013001""","79.13","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013002","CA","060014013002","=""060014013002""","147.52","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014013003","CA","060014013003","=""060014013003""","207.87","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014001","CA","060014014001","=""060014014001""","312.48","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014002","CA","060014014002","=""060014014002""","320.53","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014014003","CA","060014014003","=""060014014003""","207.87","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015001","CA","060014015001","=""060014015001""","193.12","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015002","CA","060014015002","=""060014015002""","219.94","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014015003","CA","060014015003","=""060014015003""","350.03","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014016001","CA","060014016001","=""060014016001""","280.29","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014016002","CA","060014016002","=""060014016002""","278.95","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017001","CA","060014017001","=""060014017001""","277.61","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017002","CA","060014017002","=""060014017002""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014017003","CA","060014017003","=""060014017003""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014018001","CA","060014018001","=""060014018001""","213.24","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014018002","CA","060014018002","=""060014018002""","262.86","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022001","CA","060014022001","=""060014022001""","130.09","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022002","CA","060014022002","=""060014022002""","274.93","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014022003","CA","060014022003","=""060014022003""","270.91","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014024001","CA","060014024001","=""060014024001""","278.95","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014024002","CA","060014024002","=""060014024002""","156.91","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025001","CA","060014025001","=""060014025001""","170.32","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014025002","CA","060014025002","=""060014025002""","119.36","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014026001","CA","060014026001","=""060014026001""","93.88","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014027001","CA","060014027001","=""060014027001""","415.75","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014027002","CA","060014027002","=""060014027002""","291.02","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014028001","CA","060014028001","=""060014028001""","477.44","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014028002","CA","060014028002","=""060014028002""","178.37","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014029001","CA","060014029001","=""060014029001""","324.55","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014030001","CA","060014030001","=""060014030001""","221.28","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014030002","CA","060014030002","=""060014030002""","97.90","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014031001","CA","060014031001","=""060014031001""","218.60","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014033001","CA","060014033001","=""060014033001""","201.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014033002","CA","060014033002","=""060014033002""","76.44","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034001","CA","060014034001","=""060014034001""","521.70","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034002","CA","060014034002","=""060014034002""","225.31","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034003","CA","060014034003","=""060014034003""","282.98","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014034004","CA","060014034004","=""060014034004""","323.21","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035011","CA","060014035011","=""060014035011""","332.60","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035012","CA","060014035012","=""060014035012""","337.96","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035013","CA","060014035013","=""060014035013""","171.66","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035021","CA","060014035021","=""060014035021""","313.82","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014035022","CA","060014035022","=""060014035022""","203.85","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036001","CA","060014036001","=""060014036001""","191.78","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036002","CA","060014036002","=""060014036002""","356.74","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014036003","CA","060014036003","=""060014036003""","419.77","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037011","CA","060014037011","=""060014037011""","413.06","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037012","CA","060014037012","=""060014037012""","245.42","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037021","CA","060014037021","=""060014037021""","260.18","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014037022","CA","060014037022","=""060014037022""","265.54","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038001","CA","060014038001","=""060014038001""","288.34","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038002","CA","060014038002","=""060014038002""","237.38","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038003","CA","060014038003","=""060014038003""","358.08","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014038004","CA","060014038004","=""060014038004""","234.70","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039001","CA","060014039001","=""060014039001""","321.87","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039002","CA","060014039002","=""060014039002""","315.16","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014039003","CA","060014039003","=""060014039003""","100.58","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014040001","CA","060014040001","=""060014040001""","264.20","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014040002","CA","060014040002","=""060014040002""","301.75","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041011","CA","060014041011","=""060014041011""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041012","CA","060014041012","=""060014041012""","492.19","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041021","CA","060014041021","=""060014041021""","194.46","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014041022","CA","060014041022","=""060014041022""","101.93","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042001","CA","060014042001","=""060014042001""","0.00","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042002","CA","060014042002","=""060014042002""","87.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014042003","CA","060014042003","=""060014042003""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043001","CA","060014043001","=""060014043001""","765.78","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043002","CA","060014043002","=""060014043002""","588.75","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014043003","CA","060014043003","=""060014043003""","321.87","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044001","CA","060014044001","=""060014044001""","1114.47","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044002","CA","060014044002","=""060014044002""","665.20","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014044003","CA","060014044003","=""060014044003""","N/A","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045011","CA","060014045011","=""060014045011""","661.17","2021","2010","EPA Smart Location Database","California (State)"
"Block Group","060014045021","CA","060014045021","=""060014045021""","1205.67","2021","2010","EPA Smart Location Database","California (State)"
