TRACTID,Pop2010,TractBlack,TractHispanic,TractWhite,TractKids,TractSeniors,One_mile,Half_mile,shr_Black,shr_White,shr_Hispanic,shr_Kids,shr_Seniors,minc,hhd_exp,pct_SNAP,transit_dist,transit_freq,avg_vehicle,City
06037181000,6144,104.0,1695.0,3640.0,1134.0,1170.0,,114.767037989572,0.016927083333333332,0.5924479166666666,0.27587890625,0.1845703125,0.1904296875,97443.0,80000.0,5.49,372.83,76.096,1.9,Los Angeles
06037181300,3629,89.0,1209.0,1764.0,685.0,582.0,,68.6230896711349,0.024524662441443922,0.4860843207495178,0.3331496279966933,0.1887572333976302,0.16037475888674566,130125.0,83200.0,7.76,473.41499999999996,91.66333333333334,2.2,Los Angeles
06037181400,4302,112.0,1536.0,1991.0,800.0,634.0,,,0.02603440260344026,0.4628079962807996,0.35704323570432356,0.18596001859600186,0.14737331473733148,91368.0,69100.0,9.2,358.97333333333336,104.57333333333334,1.7,Los Angeles
06037181500,3812,62.0,1607.0,1997.0,752.0,470.0,,60.2352256793529,0.01626442812172088,0.5238719832109129,0.4215634837355719,0.19727177334732424,0.12329485834207765,110094.0,82800.0,1.75,308.45666666666665,75.92333333333333,2.1,Los Angeles
06037181600,4352,99.0,1591.0,2400.0,645.0,324.0,,437.643098450266,0.02274816176470588,0.5514705882352942,0.3655790441176471,0.14820772058823528,0.0744485294117647,104271.0,68500.0,1.03,532.425,29.034999999999997,1.9,Los Angeles
06037183101,3922,74.0,2607.0,2147.0,901.0,427.0,,249.72163626086,0.018867924528301886,0.5474247832738399,0.6647118816930138,0.22972972972972974,0.10887302396736359,92321.0,65500.0,9.29,389.3733333333334,72.16000000000001,1.6,Los Angeles
06037183103,3967,140.0,2897.0,1843.0,981.0,284.0,,973.753545455635,0.03529115200403327,0.4645828081673809,0.7302747668263171,0.24729014368540458,0.07159062263675321,81103.0,67000.0,13.14,227.98999999999998,56.755,1.7,Los Angeles
06037183104,2065,68.0,1079.0,1152.0,405.0,289.0,,427.544057324529,0.03292978208232446,0.5578692493946731,0.5225181598062953,0.19612590799031476,0.13995157384987894,98939.0,73200.0,4.79,348.69,19.55,1.9,Los Angeles
06037183220,4114,77.0,3072.0,1749.0,1119.0,433.0,,,0.01871657754010695,0.42513368983957217,0.7467185221195917,0.2719980554205153,0.10525036460865338,98406.0,70300.0,6.23,345.56,118.06666666666666,1.8,Los Angeles
06037183221,3118,96.0,2062.0,1627.0,790.0,294.0,,426.331815685146,0.030788967286722257,0.5218088518280949,0.6613213598460551,0.25336754329698524,0.09429121231558692,89891.0,78300.0,4.56,616.245,31.535000000000004,1.7,Los Angeles
