"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","17001000100","IL","17001000100","=""17001000100""","52700","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000201","IL","17001000201","=""17001000201""","52400","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000202","IL","17001000202","=""17001000202""","50200","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000400","IL","17001000400","=""17001000400""","46700","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000500","IL","17001000500","=""17001000500""","46600","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000600","IL","17001000600","=""17001000600""","60900","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000700","IL","17001000700","=""17001000700""","33500","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000800","IL","17001000800","=""17001000800""","40800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001000900","IL","17001000900","=""17001000900""","49300","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001001001","IL","17001001001","=""17001001001""","54600","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001001002","IL","17001001002","=""17001001002""","59500","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001001100","IL","17001001100","=""17001001100""","62800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010100","IL","17001010100","=""17001010100""","60500","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010200","IL","17001010200","=""17001010200""","53100","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010301","IL","17001010301","=""17001010301""","65400","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010302","IL","17001010302","=""17001010302""","60700","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010400","IL","17001010400","=""17001010400""","69200","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010500","IL","17001010500","=""17001010500""","71800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17001010600","IL","17001010600","=""17001010600""","66800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17003957600","IL","17003957600","=""17003957600""","50300","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17003957700","IL","17003957700","=""17003957700""","50800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17003957800","IL","17003957800","=""17003957800""","41500","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17003957900","IL","17003957900","=""17003957900""","39200","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17005951200","IL","17005951200","=""17005951200""","58900","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17005951300","IL","17005951300","=""17005951300""","50400","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17005951400","IL","17005951400","=""17005951400""","59900","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17005951500","IL","17005951500","=""17005951500""","60000","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010101","IL","17007010101","=""17007010101""","56700","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010102","IL","17007010102","=""17007010102""","50000","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010200","IL","17007010200","=""17007010200""","52300","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010300","IL","17007010300","=""17007010300""","54800","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010400","IL","17007010400","=""17007010400""","66300","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
"Census Tract","17007010501","IL","17007010501","=""17007010501""","92900","2020","2020","PolicyMap, QI, BLS, and Census","Illinois (State)"
