Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Jobs within 45 Minutes Auto Travel Time,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,d5ar,TimeFrame,GeoVintage,Source,Location
Block Group,1.7001E+11,IL,1.7001E+11,170010001001,11997,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010001002,13148,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010001003,15613,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010001004,14527,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010001005,12294,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010002011,11289,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010002012,14134,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010002021,14765,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010002022,14600,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010002023,15780,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010004001,13558,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010004002,14878,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010004003,15428,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010004004,13644,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010005001,15087,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010005002,15234,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010006001,15155,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010006002,13336,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010006003,14300,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010006004,14148,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010006005,15126,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010007001,16259,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010007002,13870,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010008001,14078,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010008002,12802,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010008003,12385,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010009001,15029,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010009002,11536,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010010011,14466,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010010012,15561,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010010013,13847,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010010021,13374,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010010022,10439,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010011001,13404,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010011002,13924,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010011003,10188,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010011004,11392,2021,2010,EPA Smart Location Database,Illinois (State)
Block Group,1.7001E+11,IL,1.7001E+11,170010101001,5605,2021,2010,EPA Smart Location Database,Illinois (State)
