Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Median Household Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,17001000100,IL,17001000100,17001000100,56603,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000201,IL,17001000201,17001000201,44453,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000202,IL,17001000202,17001000202,60690,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000400,IL,17001000400,17001000400,42328,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000500,IL,17001000500,17001000500,39234,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000600,IL,17001000600,17001000600,65012,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000700,IL,17001000700,17001000700,17766,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000800,IL,17001000800,17001000800,32077,2017-2021,2020,Census,Illinois (State)
Census Tract,17001000900,IL,17001000900,17001000900,39727,2017-2021,2020,Census,Illinois (State)
Census Tract,17001001001,IL,17001001001,17001001001,56563,2017-2021,2020,Census,Illinois (State)
Census Tract,17001001002,IL,17001001002,17001001002,56378,2017-2021,2020,Census,Illinois (State)
Census Tract,17001001100,IL,17001001100,17001001100,67120,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010100,IL,17001010100,17001010100,67385,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010200,IL,17001010200,17001010200,55924,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010301,IL,17001010301,17001010301,83400,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010302,IL,17001010302,17001010302,63833,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010400,IL,17001010400,17001010400,77261,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010500,IL,17001010500,17001010500,94125,2017-2021,2020,Census,Illinois (State)
Census Tract,17001010600,IL,17001010600,17001010600,78154,2017-2021,2020,Census,Illinois (State)
Census Tract,17003957600,IL,17003957600,17003957600,45500,2017-2021,2020,Census,Illinois (State)
Census Tract,17003957700,IL,17003957700,17003957700,53125,2017-2021,2020,Census,Illinois (State)
Census Tract,17003957800,IL,17003957800,17003957800,37750,2017-2021,2020,Census,Illinois (State)
Census Tract,17003957900,IL,17003957900,17003957900,25577,2017-2021,2020,Census,Illinois (State)
Census Tract,17005951200,IL,17005951200,17005951200,65804,2017-2021,2020,Census,Illinois (State)
Census Tract,17005951300,IL,17005951300,17005951300,46553,2017-2021,2020,Census,Illinois (State)
Census Tract,17005951400,IL,17005951400,17005951400,51111,2017-2021,2020,Census,Illinois (State)
Census Tract,17005951500,IL,17005951500,17005951500,63625,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010101,IL,17007010101,17007010101,68295,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010102,IL,17007010102,17007010102,47791,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010200,IL,17007010200,17007010200,38125,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010300,IL,17007010300,17007010300,64450,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010400,IL,17007010400,17007010400,75135,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010501,IL,17007010501,17007010501,157583,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010502,IL,17007010502,17007010502,75455,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010601,IL,17007010601,17007010601,87905,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010603,IL,17007010603,17007010603,128125,2017-2021,2020,Census,Illinois (State)
Census Tract,17007010604,IL,17007010604,17007010604,82998,2017-2021,2020,Census,Illinois (State)
Census Tract,17009970400,IL,17009970400,17009970400,63839,2017-2021,2020,Census,Illinois (State)
Census Tract,17009970500,IL,17009970500,17009970500,58044,2017-2021,2020,Census,Illinois (State)
