"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pfamsnap","TimeFrame","GeoVintage","Source","Location"
"Census Tract","17001000100","IL","17001000100","=""17001000100""","9.93","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000201","IL","17001000201","=""17001000201""","16.11","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000202","IL","17001000202","=""17001000202""","17.06","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000400","IL","17001000400","=""17001000400""","30.51","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000500","IL","17001000500","=""17001000500""","18.03","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000600","IL","17001000600","=""17001000600""","11.93","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000700","IL","17001000700","=""17001000700""","33.67","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000800","IL","17001000800","=""17001000800""","47.54","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001000900","IL","17001000900","=""17001000900""","26.58","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001001001","IL","17001001001","=""17001001001""","18.98","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001001002","IL","17001001002","=""17001001002""","5.86","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001001100","IL","17001001100","=""17001001100""","15.57","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010100","IL","17001010100","=""17001010100""","8.59","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010200","IL","17001010200","=""17001010200""","9.88","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010301","IL","17001010301","=""17001010301""","2.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010302","IL","17001010302","=""17001010302""","9.90","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010400","IL","17001010400","=""17001010400""","1.45","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010500","IL","17001010500","=""17001010500""","2.71","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17001010600","IL","17001010600","=""17001010600""","8.27","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17003957600","IL","17003957600","=""17003957600""","13.35","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17003957700","IL","17003957700","=""17003957700""","16.47","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17003957800","IL","17003957800","=""17003957800""","25.48","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17003957900","IL","17003957900","=""17003957900""","3.03","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17005951200","IL","17005951200","=""17005951200""","4.49","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17005951300","IL","17005951300","=""17005951300""","19.06","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17005951400","IL","17005951400","=""17005951400""","11.76","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17005951500","IL","17005951500","=""17005951500""","13.04","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010101","IL","17007010101","=""17007010101""","7.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010102","IL","17007010102","=""17007010102""","16.77","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010200","IL","17007010200","=""17007010200""","24.31","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010300","IL","17007010300","=""17007010300""","16.03","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010400","IL","17007010400","=""17007010400""","3.47","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010501","IL","17007010501","=""17007010501""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010502","IL","17007010502","=""17007010502""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010601","IL","17007010601","=""17007010601""","7.63","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010603","IL","17007010603","=""17007010603""","4.58","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17007010604","IL","17007010604","=""17007010604""","12.82","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17009970400","IL","17009970400","=""17009970400""","4.38","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17009970500","IL","17009970500","=""17009970500""","18.26","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011964700","IL","17011964700","=""17011964700""","8.99","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011964800","IL","17011964800","=""17011964800""","15.31","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011964900","IL","17011964900","=""17011964900""","18.11","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965000","IL","17011965000","=""17011965000""","13.96","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965100","IL","17011965100","=""17011965100""","12.68","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965200","IL","17011965200","=""17011965200""","27.06","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965300","IL","17011965300","=""17011965300""","9.93","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965400","IL","17011965400","=""17011965400""","2.74","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965500","IL","17011965500","=""17011965500""","8.15","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17011965600","IL","17011965600","=""17011965600""","7.30","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17013951200","IL","17013951200","=""17013951200""","7.99","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17013951300","IL","17013951300","=""17013951300""","3.38","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960100","IL","17015960100","=""17015960100""","11.86","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960200","IL","17015960200","=""17015960200""","2.63","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960300","IL","17015960300","=""17015960300""","12.65","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960400","IL","17015960400","=""17015960400""","7.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960500","IL","17015960500","=""17015960500""","7.90","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17015960600","IL","17015960600","=""17015960600""","9.59","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17017960100","IL","17017960100","=""17017960100""","11.78","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17017960200","IL","17017960200","=""17017960200""","9.34","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17017960300","IL","17017960300","=""17017960300""","8.63","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17017960400","IL","17017960400","=""17017960400""","23.83","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17017960500","IL","17017960500","=""17017960500""","10.60","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000200","IL","17019000200","=""17019000200""","50.90","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000301","IL","17019000301","=""17019000301""","39.13","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000302","IL","17019000302","=""17019000302""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000401","IL","17019000401","=""17019000401""","N/A","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000402","IL","17019000402","=""17019000402""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000500","IL","17019000500","=""17019000500""","24.52","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000700","IL","17019000700","=""17019000700""","39.07","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000800","IL","17019000800","=""17019000800""","19.44","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000901","IL","17019000901","=""17019000901""","29.80","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019000902","IL","17019000902","=""17019000902""","5.75","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001000","IL","17019001000","=""17019001000""","37.85","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001100","IL","17019001100","=""17019001100""","3.91","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001201","IL","17019001201","=""17019001201""","13.07","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001203","IL","17019001203","=""17019001203""","11.02","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001204","IL","17019001204","=""17019001204""","4.62","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001205","IL","17019001205","=""17019001205""","9.30","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001206","IL","17019001206","=""17019001206""","0.67","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001301","IL","17019001301","=""17019001301""","6.47","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001302","IL","17019001302","=""17019001302""","4.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019001400","IL","17019001400","=""17019001400""","9.69","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005300","IL","17019005300","=""17019005300""","44.99","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005401","IL","17019005401","=""17019005401""","31.51","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005402","IL","17019005402","=""17019005402""","11.24","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005500","IL","17019005500","=""17019005500""","19.92","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005601","IL","17019005601","=""17019005601""","18.06","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005602","IL","17019005602","=""17019005602""","9.48","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005701","IL","17019005701","=""17019005701""","9.53","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005702","IL","17019005702","=""17019005702""","3.81","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005800","IL","17019005800","=""17019005800""","4.22","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005901","IL","17019005901","=""17019005901""","12.90","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019005902","IL","17019005902","=""17019005902""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019006000","IL","17019006000","=""17019006000""","8.07","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010100","IL","17019010100","=""17019010100""","33.49","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010204","IL","17019010204","=""17019010204""","20.74","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010300","IL","17019010300","=""17019010300""","51.40","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010400","IL","17019010400","=""17019010400""","5.47","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010500","IL","17019010500","=""17019010500""","6.01","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010601","IL","17019010601","=""17019010601""","0.00","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010603","IL","17019010603","=""17019010603""","3.71","2017-2021","2020","Census","Illinois (State)"
"Census Tract","17019010604","IL","17019010604","=""17019010604""","6.07","2017-2021","2020","Census","Illinois (State)"
