"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","170010001001","IL","170010001001","=""170010001001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010001002","IL","170010001002","=""170010001002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010001003","IL","170010001003","=""170010001003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010001004","IL","170010001004","=""170010001004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010001005","IL","170010001005","=""170010001005""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010002011","IL","170010002011","=""170010002011""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010002012","IL","170010002012","=""170010002012""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010002021","IL","170010002021","=""170010002021""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010002022","IL","170010002022","=""170010002022""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010002023","IL","170010002023","=""170010002023""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010004001","IL","170010004001","=""170010004001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010004002","IL","170010004002","=""170010004002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010004003","IL","170010004003","=""170010004003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010004004","IL","170010004004","=""170010004004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010005001","IL","170010005001","=""170010005001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010005002","IL","170010005002","=""170010005002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010006001","IL","170010006001","=""170010006001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010006002","IL","170010006002","=""170010006002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010006003","IL","170010006003","=""170010006003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010006004","IL","170010006004","=""170010006004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010006005","IL","170010006005","=""170010006005""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010007001","IL","170010007001","=""170010007001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010007002","IL","170010007002","=""170010007002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010008001","IL","170010008001","=""170010008001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010008002","IL","170010008002","=""170010008002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010008003","IL","170010008003","=""170010008003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010009001","IL","170010009001","=""170010009001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010009002","IL","170010009002","=""170010009002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010010011","IL","170010010011","=""170010010011""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010010012","IL","170010010012","=""170010010012""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010010013","IL","170010010013","=""170010010013""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010010021","IL","170010010021","=""170010010021""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010010022","IL","170010010022","=""170010010022""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010011001","IL","170010011001","=""170010011001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010011002","IL","170010011002","=""170010011002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010011003","IL","170010011003","=""170010011003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010011004","IL","170010011004","=""170010011004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010101001","IL","170010101001","=""170010101001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010101002","IL","170010101002","=""170010101002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010101003","IL","170010101003","=""170010101003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010101004","IL","170010101004","=""170010101004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010102001","IL","170010102001","=""170010102001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010102002","IL","170010102002","=""170010102002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010102003","IL","170010102003","=""170010102003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010102004","IL","170010102004","=""170010102004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103001","IL","170010103001","=""170010103001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103002","IL","170010103002","=""170010103002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103003","IL","170010103003","=""170010103003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103004","IL","170010103004","=""170010103004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103005","IL","170010103005","=""170010103005""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010103006","IL","170010103006","=""170010103006""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010104001","IL","170010104001","=""170010104001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010104002","IL","170010104002","=""170010104002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010104003","IL","170010104003","=""170010104003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010105001","IL","170010105001","=""170010105001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010105002","IL","170010105002","=""170010105002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010106001","IL","170010106001","=""170010106001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010106002","IL","170010106002","=""170010106002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010106003","IL","170010106003","=""170010106003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010106004","IL","170010106004","=""170010106004""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170010106005","IL","170010106005","=""170010106005""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039576001","IL","170039576001","=""170039576001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039576002","IL","170039576002","=""170039576002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039576003","IL","170039576003","=""170039576003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039577001","IL","170039577001","=""170039577001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039577002","IL","170039577002","=""170039577002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039578001","IL","170039578001","=""170039578001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039578002","IL","170039578002","=""170039578002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039579001","IL","170039579001","=""170039579001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170039579002","IL","170039579002","=""170039579002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170059512001","IL","170059512001","=""170059512001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170059512002","IL","170059512002","=""170059512002""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170059512003","IL","170059512003","=""170059512003""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
"Block Group","170059513001","IL","170059513001","=""170059513001""","N/A","2021","2010","EPA Smart Location Database","Illinois (State)"
