"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","36001000100","NY","36001000100","=""36001000100""","48400","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000201","NY","36001000201","=""36001000201""","53700","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000202","NY","36001000202","=""36001000202""","43700","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000301","NY","36001000301","=""36001000301""","45600","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000302","NY","36001000302","=""36001000302""","50400","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000401","NY","36001000401","=""36001000401""","67200","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000403","NY","36001000403","=""36001000403""","63900","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000404","NY","36001000404","=""36001000404""","N/A","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000501","NY","36001000501","=""36001000501""","46800","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000502","NY","36001000502","=""36001000502""","57800","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000600","NY","36001000600","=""36001000600""","42100","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000700","NY","36001000700","=""36001000700""","48000","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001000800","NY","36001000800","=""36001000800""","40800","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001100","NY","36001001100","=""36001001100""","45800","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001400","NY","36001001400","=""36001001400""","54300","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001500","NY","36001001500","=""36001001500""","45500","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001600","NY","36001001600","=""36001001600""","57300","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001700","NY","36001001700","=""36001001700""","64800","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001802","NY","36001001802","=""36001001802""","56600","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001803","NY","36001001803","=""36001001803""","73300","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001804","NY","36001001804","=""36001001804""","67000","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001901","NY","36001001901","=""36001001901""","64100","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001001902","NY","36001001902","=""36001001902""","71400","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001002000","NY","36001002000","=""36001002000""","53300","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001002100","NY","36001002100","=""36001002100""","52200","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001002200","NY","36001002200","=""36001002200""","48200","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
"Census Tract","36001002300","NY","36001002300","=""36001002300""","45700","2020","2020","PolicyMap, QI, BLS, and Census","New York (State)"
