"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","91690","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","93900","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002001","NY","360010002001","=""360010002001""","96937","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002002","NY","360010002002","=""360010002002""","113025","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002003","NY","360010002003","=""360010002003""","117947","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002004","NY","360010002004","=""360010002004""","115699","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003001","NY","360010003001","=""360010003001""","96868","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003002","NY","360010003002","=""360010003002""","111506","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003003","NY","360010003003","=""360010003003""","71962","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003004","NY","360010003004","=""360010003004""","110779","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","3756","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","110473","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","109508","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","109630","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","89822","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","102392","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","111518","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","110780","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","111038","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","112552","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","106879","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","111321","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","117234","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","117094","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","114527","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","99413","2021","2010","EPA Smart Location Database","New York (State)"
