"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","36001000100","NY","36001000100","=""36001000100""","44871","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000201","NY","36001000201","=""36001000201""","42456","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000202","NY","36001000202","=""36001000202""","24792","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000301","NY","36001000301","=""36001000301""","40666","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000302","NY","36001000302","=""36001000302""","42370","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000401","NY","36001000401","=""36001000401""","75994","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000403","NY","36001000403","=""36001000403""","77835","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000404","NY","36001000404","=""36001000404""","N/A","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000501","NY","36001000501","=""36001000501""","25104","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000502","NY","36001000502","=""36001000502""","61354","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000600","NY","36001000600","=""36001000600""","21828","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000700","NY","36001000700","=""36001000700""","40584","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000800","NY","36001000800","=""36001000800""","23837","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001100","NY","36001001100","=""36001001100""","45714","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001400","NY","36001001400","=""36001001400""","58274","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001500","NY","36001001500","=""36001001500""","27327","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001600","NY","36001001600","=""36001001600""","54944","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001700","NY","36001001700","=""36001001700""","80000","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001802","NY","36001001802","=""36001001802""","70041","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001803","NY","36001001803","=""36001001803""","96577","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001804","NY","36001001804","=""36001001804""","93958","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001901","NY","36001001901","=""36001001901""","75083","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001902","NY","36001001902","=""36001001902""","93875","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002000","NY","36001002000","=""36001002000""","52263","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002100","NY","36001002100","=""36001002100""","42070","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002200","NY","36001002200","=""36001002200""","39343","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002300","NY","36001002300","=""36001002300""","47076","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002500","NY","36001002500","=""36001002500""","32532","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002600","NY","36001002600","=""36001002600""","59325","2017-2021","2020","Census","New York (State)"
"Census Tract","36001012700","NY","36001012700","=""36001012700""","66292","2017-2021","2020","Census","New York (State)"
"Census Tract","36001012800","NY","36001012800","=""36001012800""","37108","2017-2021","2020","Census","New York (State)"
"Census Tract","36001012900","NY","36001012900","=""36001012900""","55167","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013000","NY","36001013000","=""36001013000""","74609","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013100","NY","36001013100","=""36001013100""","57750","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013200","NY","36001013200","=""36001013200""","33947","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013300","NY","36001013300","=""36001013300""","39535","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013400","NY","36001013400","=""36001013400""","65250","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013503","NY","36001013503","=""36001013503""","86250","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013505","NY","36001013505","=""36001013505""","84558","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013507","NY","36001013507","=""36001013507""","88417","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013509","NY","36001013509","=""36001013509""","92734","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013510","NY","36001013510","=""36001013510""","93568","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013511","NY","36001013511","=""36001013511""","128726","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013512","NY","36001013512","=""36001013512""","106125","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013602","NY","36001013602","=""36001013602""","73281","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013603","NY","36001013603","=""36001013603""","84103","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013604","NY","36001013604","=""36001013604""","93684","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013703","NY","36001013703","=""36001013703""","97167","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013706","NY","36001013706","=""36001013706""","133125","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013707","NY","36001013707","=""36001013707""","103362","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013708","NY","36001013708","=""36001013708""","88438","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013709","NY","36001013709","=""36001013709""","114091","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013802","NY","36001013802","=""36001013802""","120250","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013803","NY","36001013803","=""36001013803""","54206","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013804","NY","36001013804","=""36001013804""","64096","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013901","NY","36001013901","=""36001013901""","91136","2017-2021","2020","Census","New York (State)"
"Census Tract","36001013902","NY","36001013902","=""36001013902""","97215","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014001","NY","36001014001","=""36001014001""","72444","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014002","NY","36001014002","=""36001014002""","80923","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014100","NY","36001014100","=""36001014100""","88807","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014201","NY","36001014201","=""36001014201""","110375","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014202","NY","36001014202","=""36001014202""","109429","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014203","NY","36001014203","=""36001014203""","133150","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014301","NY","36001014301","=""36001014301""","77750","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014303","NY","36001014303","=""36001014303""","134273","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014304","NY","36001014304","=""36001014304""","85243","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014401","NY","36001014401","=""36001014401""","79810","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014402","NY","36001014402","=""36001014402""","65027","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014501","NY","36001014501","=""36001014501""","109556","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014502","NY","36001014502","=""36001014502""","106445","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014503","NY","36001014503","=""36001014503""","98646","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014606","NY","36001014606","=""36001014606""","115313","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014608","NY","36001014608","=""36001014608""","81691","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014609","NY","36001014609","=""36001014609""","77813","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014611","NY","36001014611","=""36001014611""","114615","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014612","NY","36001014612","=""36001014612""","87500","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014613","NY","36001014613","=""36001014613""","83409","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014614","NY","36001014614","=""36001014614""","88708","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014615","NY","36001014615","=""36001014615""","87903","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014616","NY","36001014616","=""36001014616""","126414","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014617","NY","36001014617","=""36001014617""","135729","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014700","NY","36001014700","=""36001014700""","105188","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014801","NY","36001014801","=""36001014801""","78750","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014802","NY","36001014802","=""36001014802""","85655","2017-2021","2020","Census","New York (State)"
"Census Tract","36001014803","NY","36001014803","=""36001014803""","85144","2017-2021","2020","Census","New York (State)"
"Census Tract","36003940200","NY","36003940200","=""36003940200""","N/A","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950100","NY","36003950100","=""36003950100""","59784","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950300","NY","36003950300","=""36003950300""","64028","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950401","NY","36003950401","=""36003950401""","55795","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950402","NY","36003950402","=""36003950402""","58333","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950500","NY","36003950500","=""36003950500""","55650","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950600","NY","36003950600","=""36003950600""","51458","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950700","NY","36003950700","=""36003950700""","53973","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950800","NY","36003950800","=""36003950800""","59000","2017-2021","2020","Census","New York (State)"
"Census Tract","36003950900","NY","36003950900","=""36003950900""","47543","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951000","NY","36003951000","=""36003951000""","60257","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951100","NY","36003951100","=""36003951100""","53329","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951201","NY","36003951201","=""36003951201""","44712","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951202","NY","36003951202","=""36003951202""","50040","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951301","NY","36003951301","=""36003951301""","51738","2017-2021","2020","Census","New York (State)"
"Census Tract","36003951302","NY","36003951302","=""36003951302""","58250","2017-2021","2020","Census","New York (State)"
"Census Tract","36005000100","NY","36005000100","=""36005000100""","N/A","2017-2021","2020","Census","New York (State)"
"Census Tract","36005000200","NY","36005000200","=""36005000200""","70867","2017-2021","2020","Census","New York (State)"
"Census Tract","36005000400","NY","36005000400","=""36005000400""","98090","2017-2021","2020","Census","New York (State)"
