"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pfamsnap","TimeFrame","GeoVintage","Source","Location"
"Census Tract","36001000100","NY","36001000100","=""36001000100""","32.74","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000201","NY","36001000201","=""36001000201""","18.80","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000202","NY","36001000202","=""36001000202""","65.67","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000301","NY","36001000301","=""36001000301""","47.76","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000302","NY","36001000302","=""36001000302""","16.99","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000401","NY","36001000401","=""36001000401""","0.80","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000403","NY","36001000403","=""36001000403""","6.84","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000404","NY","36001000404","=""36001000404""","N/A","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000501","NY","36001000501","=""36001000501""","28.35","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000502","NY","36001000502","=""36001000502""","17.16","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000600","NY","36001000600","=""36001000600""","44.44","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000700","NY","36001000700","=""36001000700""","37.55","2017-2021","2020","Census","New York (State)"
"Census Tract","36001000800","NY","36001000800","=""36001000800""","73.84","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001100","NY","36001001100","=""36001001100""","19.09","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001400","NY","36001001400","=""36001001400""","2.02","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001500","NY","36001001500","=""36001001500""","12.41","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001600","NY","36001001600","=""36001001600""","23.16","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001700","NY","36001001700","=""36001001700""","5.85","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001802","NY","36001001802","=""36001001802""","7.09","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001803","NY","36001001803","=""36001001803""","3.04","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001804","NY","36001001804","=""36001001804""","0.00","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001901","NY","36001001901","=""36001001901""","3.10","2017-2021","2020","Census","New York (State)"
"Census Tract","36001001902","NY","36001001902","=""36001001902""","7.98","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002000","NY","36001002000","=""36001002000""","42.42","2017-2021","2020","Census","New York (State)"
"Census Tract","36001002100","NY","36001002100","=""36001002100""","3.46","2017-2021","2020","Census","New York (State)"
