"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","227.99","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","438.55","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002001","NY","360010002001","=""360010002001""","203.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002002","NY","360010002002","=""360010002002""","363.44","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002003","NY","360010002003","=""360010002003""","248.11","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002004","NY","360010002004","=""360010002004""","347.35","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003001","NY","360010003001","=""360010003001""","732.25","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003002","NY","360010003002","=""360010003002""","323.21","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003003","NY","360010003003","=""360010003003""","371.49","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003004","NY","360010003004","=""360010003004""","132.77","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","453.30","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","360.76","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","528.40","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","490.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","411.72","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","360.76","2021","2010","EPA Smart Location Database","New York (State)"
