"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Frequency of Transit Service per Square Mile","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4d","TimeFrame","GeoVintage","Source","Location"
"Block Group","360010001001","NY","360010001001","=""360010001001""","18.90","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010001002","NY","360010001002","=""360010001002""","70.18","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002001","NY","360010002001","=""360010002001""","32.76","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002002","NY","360010002002","=""360010002002""","488.87","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002003","NY","360010002003","=""360010002003""","497.50","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010002004","NY","360010002004","=""360010002004""","879.89","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003001","NY","360010003001","=""360010003001""","38.09","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003002","NY","360010003002","=""360010003002""","181.97","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003003","NY","360010003003","=""360010003003""","8.06","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010003004","NY","360010003004","=""360010003004""","84.72","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004011","NY","360010004011","=""360010004011""","1.71","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004031","NY","360010004031","=""360010004031""","130.78","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004032","NY","360010004032","=""360010004032""","115.91","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004033","NY","360010004033","=""360010004033""","184.49","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004034","NY","360010004034","=""360010004034""","32.02","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010004041","NY","360010004041","=""360010004041""","43.62","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005011","NY","360010005011","=""360010005011""","785.56","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005012","NY","360010005012","=""360010005012""","319.48","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005013","NY","360010005013","=""360010005013""","1051.17","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005014","NY","360010005014","=""360010005014""","485.70","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005021","NY","360010005021","=""360010005021""","221.13","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010005022","NY","360010005022","=""360010005022""","114.07","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006001","NY","360010006001","=""360010006001""","903.33","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006002","NY","360010006002","=""360010006002""","796.64","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010006003","NY","360010006003","=""360010006003""","373.66","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007001","NY","360010007001","=""360010007001""","25.37","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007002","NY","360010007002","=""360010007002""","441.51","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007003","NY","360010007003","=""360010007003""","149.12","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010007004","NY","360010007004","=""360010007004""","481.28","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008001","NY","360010008001","=""360010008001""","1181.39","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008002","NY","360010008002","=""360010008002""","887.56","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010008003","NY","360010008003","=""360010008003""","652.16","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010011001","NY","360010011001","=""360010011001""","118.48","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014001","NY","360010014001","=""360010014001""","811.88","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014002","NY","360010014002","=""360010014002""","981.54","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010014003","NY","360010014003","=""360010014003""","259.67","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015001","NY","360010015001","=""360010015001""","423.62","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015002","NY","360010015002","=""360010015002""","298.57","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015003","NY","360010015003","=""360010015003""","179.85","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010015004","NY","360010015004","=""360010015004""","90.96","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016001","NY","360010016001","=""360010016001""","221.01","2021","2010","EPA Smart Location Database","New York (State)"
"Block Group","360010016002","NY","360010016002","=""360010016002""","171.94","2021","2010","EPA Smart Location Database","New York (State)"
