"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Avg. Vehicles per Household","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","avmv","TimeFrame","GeoVintage","Source","Location"
"Census Tract","48001950100","TX","48001950100","=""48001950100""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950401","TX","48001950401","=""48001950401""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950402","TX","48001950402","=""48001950402""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950500","TX","48001950500","=""48001950500""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950600","TX","48001950600","=""48001950600""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950700","TX","48001950700","=""48001950700""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950800","TX","48001950800","=""48001950800""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950901","TX","48001950901","=""48001950901""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950902","TX","48001950902","=""48001950902""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951001","TX","48001951001","=""48001951001""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951002","TX","48001951002","=""48001951002""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951100","TX","48001951100","=""48001951100""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950100","TX","48003950100","=""48003950100""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950200","TX","48003950200","=""48003950200""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950300","TX","48003950300","=""48003950300""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950400","TX","48003950400","=""48003950400""","2.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000102","TX","48005000102","=""48005000102""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000103","TX","48005000103","=""48005000103""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000104","TX","48005000104","=""48005000104""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000201","TX","48005000201","=""48005000201""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000202","TX","48005000202","=""48005000202""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000301","TX","48005000301","=""48005000301""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000302","TX","48005000302","=""48005000302""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000400","TX","48005000400","=""48005000400""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000500","TX","48005000500","=""48005000500""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000600","TX","48005000600","=""48005000600""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000700","TX","48005000700","=""48005000700""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000800","TX","48005000800","=""48005000800""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000902","TX","48005000902","=""48005000902""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000903","TX","48005000903","=""48005000903""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000904","TX","48005000904","=""48005000904""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001001","TX","48005001001","=""48005001001""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001002","TX","48005001002","=""48005001002""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001101","TX","48005001101","=""48005001101""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001102","TX","48005001102","=""48005001102""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001200","TX","48005001200","=""48005001200""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001300","TX","48005001300","=""48005001300""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950101","TX","48007950101","=""48007950101""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950102","TX","48007950102","=""48007950102""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950103","TX","48007950103","=""48007950103""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950200","TX","48007950200","=""48007950200""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950301","TX","48007950301","=""48007950301""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950302","TX","48007950302","=""48007950302""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950400","TX","48007950400","=""48007950400""","1.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950501","TX","48007950501","=""48007950501""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950502","TX","48007950502","=""48007950502""","1.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950503","TX","48007950503","=""48007950503""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007990000","TX","48007990000","=""48007990000""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48009020100","TX","48009020100","=""48009020100""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48009020200","TX","48009020200","=""48009020200""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48009020300","TX","48009020300","=""48009020300""","1.8","2017-2021","2020","Census","Texas (State)"
"Census Tract","48011950100","TX","48011950100","=""48011950100""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960101","TX","48013960101","=""48013960101""","2.5","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960102","TX","48013960102","=""48013960102""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960203","TX","48013960203","=""48013960203""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960204","TX","48013960204","=""48013960204""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960205","TX","48013960205","=""48013960205""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960206","TX","48013960206","=""48013960206""","2.3","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960300","TX","48013960300","=""48013960300""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960401","TX","48013960401","=""48013960401""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960403","TX","48013960403","=""48013960403""","1.7","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960404","TX","48013960404","=""48013960404""","2.1","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960500","TX","48013960500","=""48013960500""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960601","TX","48013960601","=""48013960601""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48013960602","TX","48013960602","=""48013960602""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760100","TX","48015760100","=""48015760100""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760201","TX","48015760201","=""48015760201""","1.9","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760202","TX","48015760202","=""48015760202""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760301","TX","48015760301","=""48015760301""","2.0","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760302","TX","48015760302","=""48015760302""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760400","TX","48015760400","=""48015760400""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760501","TX","48015760501","=""48015760501""","2.4","2017-2021","2020","Census","Texas (State)"
"Census Tract","48015760502","TX","48015760502","=""48015760502""","2.2","2017-2021","2020","Census","Texas (State)"
"Census Tract","48017950101","TX","48017950101","=""48017950101""","1.6","2017-2021","2020","Census","Texas (State)"
"Census Tract","48017950102","TX","48017950102","=""48017950102""","1.8","2017-2021","2020","Census","Texas (State)"
