"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Amount Spent per Household on All Household Expenses","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","total_avg","TimeFrame","GeoVintage","Source","Location"
"Census Tract","48001950100","TX","48001950100","=""48001950100""","59000","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950401","TX","48001950401","=""48001950401""","65700","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950402","TX","48001950402","=""48001950402""","N/A","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950500","TX","48001950500","=""48001950500""","49700","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950600","TX","48001950600","=""48001950600""","50600","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950700","TX","48001950700","=""48001950700""","41800","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950800","TX","48001950800","=""48001950800""","51600","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950901","TX","48001950901","=""48001950901""","51900","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001950902","TX","48001950902","=""48001950902""","48300","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001951001","TX","48001951001","=""48001951001""","59200","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001951002","TX","48001951002","=""48001951002""","58800","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48001951100","TX","48001951100","=""48001951100""","56400","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48003950100","TX","48003950100","=""48003950100""","82600","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48003950200","TX","48003950200","=""48003950200""","65700","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48003950300","TX","48003950300","=""48003950300""","60000","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48003950400","TX","48003950400","=""48003950400""","76900","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48005000102","TX","48005000102","=""48005000102""","65500","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48005000103","TX","48005000103","=""48005000103""","65800","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48005000104","TX","48005000104","=""48005000104""","59100","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
"Census Tract","48005000201","TX","48005000201","=""48005000201""","47600","2020","2020","PolicyMap, QI, BLS, and Census","Texas (State)"
