"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Jobs within a 45-Minute Transit Commute","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d5br","TimeFrame","GeoVintage","Source","Location"
"Block Group","480019501001","TX","480019501001","=""480019501001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019501002","TX","480019501002","=""480019501002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019501003","TX","480019501003","=""480019501003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019504011","TX","480019504011","=""480019504011""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019504021","TX","480019504021","=""480019504021""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019505001","TX","480019505001","=""480019505001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019505002","TX","480019505002","=""480019505002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019505003","TX","480019505003","=""480019505003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019505004","TX","480019505004","=""480019505004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019506001","TX","480019506001","=""480019506001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019506002","TX","480019506002","=""480019506002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019506003","TX","480019506003","=""480019506003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019506004","TX","480019506004","=""480019506004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019507001","TX","480019507001","=""480019507001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019507002","TX","480019507002","=""480019507002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019507003","TX","480019507003","=""480019507003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019508001","TX","480019508001","=""480019508001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019508002","TX","480019508002","=""480019508002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019508003","TX","480019508003","=""480019508003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019508004","TX","480019508004","=""480019508004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019508005","TX","480019508005","=""480019508005""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509011","TX","480019509011","=""480019509011""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509012","TX","480019509012","=""480019509012""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509013","TX","480019509013","=""480019509013""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509014","TX","480019509014","=""480019509014""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509021","TX","480019509021","=""480019509021""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509022","TX","480019509022","=""480019509022""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509023","TX","480019509023","=""480019509023""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019509024","TX","480019509024","=""480019509024""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510001","TX","480019510001","=""480019510001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510002","TX","480019510002","=""480019510002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510003","TX","480019510003","=""480019510003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510004","TX","480019510004","=""480019510004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510005","TX","480019510005","=""480019510005""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019510006","TX","480019510006","=""480019510006""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019511001","TX","480019511001","=""480019511001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019511002","TX","480019511002","=""480019511002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019511003","TX","480019511003","=""480019511003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480019511004","TX","480019511004","=""480019511004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039501001","TX","480039501001","=""480039501001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502001","TX","480039502001","=""480039502001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502002","TX","480039502002","=""480039502002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502003","TX","480039502003","=""480039502003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502004","TX","480039502004","=""480039502004""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502005","TX","480039502005","=""480039502005""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039502006","TX","480039502006","=""480039502006""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039503001","TX","480039503001","=""480039503001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039503002","TX","480039503002","=""480039503002""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039503003","TX","480039503003","=""480039503003""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480039504001","TX","480039504001","=""480039504001""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
"Block Group","480050001011","TX","480050001011","=""480050001011""","N/A","2021","2010","EPA Smart Location Database","Texas (State)"
