"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Household Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Source","Location"
"Census Tract","48001950100","TX","48001950100","=""48001950100""","61325","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950401","TX","48001950401","=""48001950401""","92813","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950402","TX","48001950402","=""48001950402""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950500","TX","48001950500","=""48001950500""","41713","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950600","TX","48001950600","=""48001950600""","32552","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950700","TX","48001950700","=""48001950700""","35811","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950800","TX","48001950800","=""48001950800""","52612","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950901","TX","48001950901","=""48001950901""","47336","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950902","TX","48001950902","=""48001950902""","47068","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951001","TX","48001951001","=""48001951001""","55063","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951002","TX","48001951002","=""48001951002""","66046","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951100","TX","48001951100","=""48001951100""","62888","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950100","TX","48003950100","=""48003950100""","112826","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950200","TX","48003950200","=""48003950200""","81473","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950300","TX","48003950300","=""48003950300""","64621","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950400","TX","48003950400","=""48003950400""","77083","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000102","TX","48005000102","=""48005000102""","63889","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000103","TX","48005000103","=""48005000103""","87971","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000104","TX","48005000104","=""48005000104""","54821","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000201","TX","48005000201","=""48005000201""","42583","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000202","TX","48005000202","=""48005000202""","49195","2017-2021","2020","Census","Texas (State)"
