"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent Families Receiving Food Stamp/SNAP Benefits","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pfamsnap","TimeFrame","GeoVintage","Source","Location"
"Census Tract","48001950100","TX","48001950100","=""48001950100""","14.34","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950401","TX","48001950401","=""48001950401""","3.70","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950402","TX","48001950402","=""48001950402""","N/A","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950500","TX","48001950500","=""48001950500""","19.16","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950600","TX","48001950600","=""48001950600""","44.40","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950700","TX","48001950700","=""48001950700""","18.08","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950800","TX","48001950800","=""48001950800""","11.04","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950901","TX","48001950901","=""48001950901""","8.87","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001950902","TX","48001950902","=""48001950902""","13.57","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951001","TX","48001951001","=""48001951001""","25.82","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951002","TX","48001951002","=""48001951002""","17.55","2017-2021","2020","Census","Texas (State)"
"Census Tract","48001951100","TX","48001951100","=""48001951100""","9.86","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950100","TX","48003950100","=""48003950100""","0.00","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950200","TX","48003950200","=""48003950200""","13.28","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950300","TX","48003950300","=""48003950300""","11.40","2017-2021","2020","Census","Texas (State)"
"Census Tract","48003950400","TX","48003950400","=""48003950400""","13.99","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000102","TX","48005000102","=""48005000102""","25.21","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000103","TX","48005000103","=""48005000103""","9.65","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000104","TX","48005000104","=""48005000104""","25.00","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000201","TX","48005000201","=""48005000201""","15.89","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000202","TX","48005000202","=""48005000202""","13.35","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000301","TX","48005000301","=""48005000301""","18.69","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000302","TX","48005000302","=""48005000302""","20.98","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000400","TX","48005000400","=""48005000400""","10.63","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000500","TX","48005000500","=""48005000500""","46.42","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000600","TX","48005000600","=""48005000600""","35.90","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000700","TX","48005000700","=""48005000700""","47.60","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000800","TX","48005000800","=""48005000800""","18.37","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000902","TX","48005000902","=""48005000902""","4.13","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000903","TX","48005000903","=""48005000903""","13.07","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005000904","TX","48005000904","=""48005000904""","4.06","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001001","TX","48005001001","=""48005001001""","22.61","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001002","TX","48005001002","=""48005001002""","16.03","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001101","TX","48005001101","=""48005001101""","16.02","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001102","TX","48005001102","=""48005001102""","17.34","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001200","TX","48005001200","=""48005001200""","24.85","2017-2021","2020","Census","Texas (State)"
"Census Tract","48005001300","TX","48005001300","=""48005001300""","16.51","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950101","TX","48007950101","=""48007950101""","41.11","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950102","TX","48007950102","=""48007950102""","12.58","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950103","TX","48007950103","=""48007950103""","6.10","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950200","TX","48007950200","=""48007950200""","2.72","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950301","TX","48007950301","=""48007950301""","18.70","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950302","TX","48007950302","=""48007950302""","2.34","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950400","TX","48007950400","=""48007950400""","27.72","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950501","TX","48007950501","=""48007950501""","22.65","2017-2021","2020","Census","Texas (State)"
"Census Tract","48007950502","TX","48007950502","=""48007950502""","15.22","2017-2021","2020","Census","Texas (State)"
