TYPE;FULLCODE;STATE;COUNTY;TRACT;BLOCK;PLACE;COUSUB;CONCITY;AIANNH;SHEETS
Block;170310101001000;17;031;101.00;1000;14000;14000;;;4
Block;170310101001001;17;031;101.00;1001;14000;14000;;;4
Block;170310101001002;17;031;101.00;1002;14000;14000;;;4
Block;170310101001003;17;031;101.00;1003;14000;14000;;;4
Block;170310101002000;17;031;101.00;2000;14000;14000;;;4
Block;170310101002001;17;031;101.00;2001;14000;14000;;;4
Block;170310101002002;17;031;101.00;2002;14000;14000;;;4
Block;170310101002003;17;031;101.00;2003;14000;14000;;;4
Block;170310101002004;17;031;101.00;2004;14000;14000;;;4
Block;170310101002005;17;031;101.00;2005;14000;14000;;;4
Block;170310101002006;17;031;101.00;2006;14000;14000;;;4
Block;170310101002007;17;031;101.00;2007;14000;14000;;;4
Block;170310101002008;17;031;101.00;2008;14000;14000;;;4
Block;170310101002009;17;031;101.00;2009;14000;14000;;;4
Block;170310101002010;17;031;101.00;2010;14000;14000;;;4
Block;170310101002011;17;031;101.00;2011;14000;14000;;;4
Block;170310101003000;17;031;101.00;3000;14000;14000;;;4
Block;170310101003001;17;031;101.00;3001;14000;14000;;;4
Block;170310101003002;17;031;101.00;3002;14000;14000;;;4
Block;170310101003003;17;031;101.00;3003;14000;14000;;;4
Block;170310101003004;17;031;101.00;3004;14000;14000;;;4
Block;170310101003005;17;031;101.00;3005;14000;14000;;;4
Block;170310101003006;17;031;101.00;3006;14000;14000;;;4
Block;170310101003007;17;031;101.00;3007;14000;14000;;;4
Block;170310101003008;17;031;101.00;3008;14000;14000;;;4
Block;170310101003009;17;031;101.00;3009;14000;14000;;;4
Block;170310101003010;17;031;101.00;3010;14000;14000;;;4
Block;170310102011000;17;031;102.01;1000;14000;14000;;;4
Block;170310102011001;17;031;102.01;1001;14000;14000;;;4
Block;170310102011002;17;031;102.01;1002;14000;14000;;;4
Block;170310102011003;17;031;102.01;1003;14000;14000;;;4
Block;170310102011004;17;031;102.01;1004;14000;14000;;;4
Block;170310102011005;17;031;102.01;1005;14000;14000;;;4
Block;170310102011006;17;031;102.01;1006;14000;14000;;;4
Block;170310102011007;17;031;102.01;1007;14000;14000;;;4
Block;170310102011008;17;031;102.01;1008;14000;14000;;;4
Block;170310102011009;17;031;102.01;1009;14000;14000;;;4
Block;170310102011010;17;031;102.01;1010;14000;14000;;;4
Block;170310102011011;17;031;102.01;1011;14000;14000;;;4
Block;170310102011012;17;031;102.01;1012;14000;14000;;;4
Block;170310102011013;17;031;102.01;1013;14000;14000;;;4
Block;170310102012000;17;031;102.01;2000;14000;14000;;;4
Block;170310102012001;17;031;102.01;2001;14000;14000;;;4
Block;170310102012002;17;031;102.01;2002;14000;14000;;;4
Block;170310102012003;17;031;102.01;2003;14000;14000;;;4
Block;170310102012004;17;031;102.01;2004;14000;14000;;;4
Block;170310102012005;17;031;102.01;2005;14000;14000;;;4
Block;170310102012006;17;031;102.01;2006;14000;14000;;;4
Block;170310102012007;17;031;102.01;2007;14000;14000;;;4
Block;170310102012008;17;031;102.01;2008;14000;14000;;;4
Block;170310102012009;17;031;102.01;2009;14000;14000;;;4
Block;170310102013000;17;031;102.01;3000;14000;14000;;;4
Block;170310102013001;17;031;102.01;3001;14000;14000;;;4
Block;170310102013002;17;031;102.01;3002;14000;14000;;;4
Block;170310102013003;17;031;102.01;3003;14000;14000;;;4
Block;170310102013004;17;031;102.01;3004;14000;14000;;;4
Block;170310102013005;17;031;102.01;3005;14000;14000;;;4
Block;170310102013006;17;031;102.01;3006;14000;14000;;;4
Block;170310102013007;17;031;102.01;3007;14000;14000;;;4
Block;170310102013008;17;031;102.01;3008;14000;14000;;;4
Block;170310102013009;17;031;102.01;3009;14000;14000;;;4
Block;170310102013010;17;031;102.01;3010;14000;14000;;;4
Block;170310102013011;17;031;102.01;3011;14000;14000;;;4
Block;170310102013012;17;031;102.01;3012;14000;14000;;;4
Block;170310102013013;17;031;102.01;3013;14000;14000;;;4
Block;170310102013014;17;031;102.01;3014;14000;14000;;;4
Block;170310102013015;17;031;102.01;3015;14000;14000;;;4
Block;170310102013016;17;031;102.01;3016;14000;14000;;;4
Block;170310102013017;17;031;102.01;3017;14000;14000;;;4
Block;170310102014000;17;031;102.01;4000;14000;14000;;;4
Block;170310102014001;17;031;102.01;4001;14000;14000;;;4
Block;170310102014002;17;031;102.01;4002;14000;14000;;;4
Block;170310102014003;17;031;102.01;4003;14000;14000;;;4
