TYPE;FULLCODE;STATE;COUNTY;TRACT;BLOCK;PLACE;COUSUB;CONCITY;AIANNH;SHEETS
Block;481576701011000;48;157;6701.01;1000;35000;93715;;;101
Block;481576701011001;48;157;6701.01;1001;35000;93715;;;101
Block;481576701011002;48;157;6701.01;1002;35000;93715;;;101
Block;481576701011003;48;157;6701.01;1003;35000;93715;;;101
Block;481576701011004;48;157;6701.01;1004;35000;93715;;;101
Block;481576701011005;48;157;6701.01;1005;35000;93715;;;101
Block;481576701011006;48;157;6701.01;1006;35000;93715;;;101
Block;481576701011007;48;157;6701.01;1007;35000;93715;;;101
Block;481576701011008;48;157;6701.01;1008;35000;93715;;;101
Block;481576701011009;48;157;6701.01;1009;35000;93715;;;101
Block;481576701011010;48;157;6701.01;1010;35000;93715;;;101,102
Block;481576701011011;48;157;6701.01;1011;35000;93715;;;102
Block;481576701011012;48;157;6701.01;1012;35000;93715;;;102
Block;481576701011013;48;157;6701.01;1013;35000;93715;;;102
Block;481576701011014;48;157;6701.01;1014;35000;93715;;;101,102
Block;481576701012000;48;157;6701.01;2000;35000;93715;;;101
Block;481576701012001;48;157;6701.01;2001;35000;93715;;;101
Block;481576701012002;48;157;6701.01;2002;35000;93715;;;101
Block;481576701012003;48;157;6701.01;2003;35000;93715;;;101
Block;481576701012004;48;157;6701.01;2004;35000;93715;;;101,102
Block;481576701012005;48;157;6701.01;2005;35000;93715;;;101,102
Block;481576701012006;48;157;6701.01;2006;35000;93715;;;101
Block;481576701012007;48;157;6701.01;2007;35000;93715;;;101
Block;481576701012008;48;157;6701.01;2008;35000;93715;;;101
Block;481576701012009;48;157;6701.01;2009;35000;93715;;;101,102
Block;481576701012010;48;157;6701.01;2010;35000;93715;;;101
Block;481576701013000;48;157;6701.01;3000;35000;93715;;;101
Block;481576701013001;48;157;6701.01;3001;35000;93715;;;101,102
Block;481576701013002;48;157;6701.01;3002;35000;93715;;;101,102
Block;481576701013003;48;157;6701.01;3003;35000;93715;;;101
Block;481576701013004;48;157;6701.01;3004;35000;93715;;;101
Block;481576701013005;48;157;6701.01;3005;35000;93715;;;101,102
Block;481576701013006;48;157;6701.01;3006;35000;93715;;;101,102
Block;481576701014000;48;157;6701.01;4000;35000;93715;;;102
Block;481576701014001;48;157;6701.01;4001;35000;93715;;;102
Block;481576701014002;48;157;6701.01;4002;35000;93715;;;102
Block;481576701014003;48;157;6701.01;4003;35000;93715;;;102
Block;481576701014004;48;157;6701.01;4004;35000;93715;;;102
Block;481576701014005;48;157;6701.01;4005;35000;93715;;;102
Block;481576701014006;48;157;6701.01;4006;35000;93715;;;102
Block;481576701014007;48;157;6701.01;4007;35000;93715;;;102
Block;481576701014008;48;157;6701.01;4008;35000;93715;;;102
Block;481576701014009;48;157;6701.01;4009;35000;93715;;;102
Block;481576701014010;48;157;6701.01;4010;35000;93715;;;102
Block;481576701014011;48;157;6701.01;4011;35000;93715;;;102
Block;481576701014012;48;157;6701.01;4012;35000;93715;;;102
Block;481576701014013;48;157;6701.01;4013;35000;93715;;;102
Block;481576701014015;48;157;6701.01;4015;35000;93715;;;102
Block;481576701014016;48;157;6701.01;4016;35000;93715;;;102
Block;481576701014017;48;157;6701.01;4017;35000;93715;;;102
Block;481576701014018;48;157;6701.01;4018;35000;93715;;;102
Block;481576701014019;48;157;6701.01;4019;35000;93715;;;102
Block;481576701014020;48;157;6701.01;4020;35000;93715;;;102
Block;481576701014021;48;157;6701.01;4021;35000;93715;;;102
Block;481576701014022;48;157;6701.01;4022;35000;93715;;;102
Block;481576701014023;48;157;6701.01;4023;35000;93715;;;102
Block;481576701014024;48;157;6701.01;4024;35000;93715;;;102
Block;481576701021000;48;157;6701.02;1000;35000;93715;;;101,102
Block;481576701021001;48;157;6701.02;1001;35000;93715;;;102
Block;481576701021002;48;157;6701.02;1002;35000;93715;;;101,102
Block;481576701021003;48;157;6701.02;1003;35000;93715;;;101,102
Block;481576701021004;48;157;6701.02;1004;35000;93715;;;101,102
Block;481576701021005;48;157;6701.02;1005;35000;93715;;;101
Block;481576701021006;48;157;6701.02;1006;35000;93715;;;101
Block;481576701021007;48;157;6701.02;1007;35000;93715;;;101
Block;481576701021008;48;157;6701.02;1008;35000;93715;;;102
Block;481576701022000;48;157;6701.02;2000;35000;93715;;;101
Block;481576701022001;48;157;6701.02;2001;35000;93715;;;101
Block;481576701022002;48;157;6701.02;2002;35000;93715;;;101
Block;481576701022003;48;157;6701.02;2003;35000;93715;;;101
Block;481576701022004;48;157;6701.02;2004;35000;93715;;;101
Block;481576701022005;48;157;6701.02;2005;35000;93715;;;101
Block;481576701022006;48;157;6701.02;2006;35000;93715;;;101
Block;481576701022007;48;157;6701.02;2007;35000;93715;;;101
Block;481576701022008;48;157;6701.02;2008;35000;93715;;;101
Block;481576701022009;48;157;6701.02;2009;35000;93715;;;101
Block;481576701022010;48;157;6701.02;2010;35000;93715;;;101
Block;481576701022011;48;157;6701.02;2011;35000;93715;;;101
Block;481576701022012;48;157;6701.02;2012;35000;93715;;;101
Block;481576701022013;48;157;6701.02;2013;35000;93715;;;101
Block;481576701022014;48;157;6701.02;2014;35000;93715;;;101
Block;481576702011000;48;157;6702.01;1000;35000;93715;;;101
Block;481576702011001;48;157;6702.01;1001;35000;93715;;;101
Block;481576702011002;48;157;6702.01;1002;35000;93715;;;101
Block;481576702011003;48;157;6702.01;1003;35000;93715;;;101
Block;481576702011004;48;157;6702.01;1004;35000;93715;;;101
Block;481576702011005;48;157;6702.01;1005;35000;93715;;;101
Block;481576702011006;48;157;6702.01;1006;35000;93715;;;101
Block;481576702011007;48;157;6702.01;1007;35000;93715;;;101
Block;481576702011008;48;157;6702.01;1008;35000;93715;;;101
Block;481576702011009;48;157;6702.01;1009;35000;93715;;;101
Block;481576702011010;48;157;6702.01;1010;35000;93715;;;101
Block;481576702021000;48;157;6702.02;1000;35000;93715;;;101
Block;481576702021001;48;157;6702.02;1001;35000;93715;;;101
Block;481576702021002;48;157;6702.02;1002;35000;93715;;;101
Block;481576702021003;48;157;6702.02;1003;35000;93715;;;101
Block;481576702021004;48;157;6702.02;1004;35000;93715;;;101
Block;481576702021005;48;157;6702.02;1005;35000;93715;;;101
Block;481576702021006;48;157;6702.02;1006;35000;93715;;;101
Block;481576702021007;48;157;6702.02;1007;35000;93715;;;101
Block;481576702021008;48;157;6702.02;1008;35000;93715;;;101
Block;481576702022000;48;157;6702.02;2000;35000;93715;;;101
Block;481576702022001;48;157;6702.02;2001;35000;93715;;;101
Block;481576702022002;48;157;6702.02;2002;35000;93715;;;101
Block;481576702022003;48;157;6702.02;2003;35000;93715;;;101
Block;481576702022004;48;157;6702.02;2004;35000;93715;;;101
