TYPE;FULLCODE;STATE;COUNTY;TRACT;BLOCK;PLACE;COUSUB;CONCITY;AIANNH;SHEETS
Block;060371810001000;06;037;1810.00;1000;44000;91750;;;6
Block;060371810001001;06;037;1810.00;1001;44000;91750;;;5,6
Block;060371810001002;06;037;1810.00;1002;44000;91750;;;5,6
Block;060371810001003;06;037;1810.00;1003;44000;91750;;;6
Block;060371810001004;06;037;1810.00;1004;44000;91750;;;6
Block;060371810001005;06;037;1810.00;1005;44000;91750;;;6
Block;060371810001006;06;037;1810.00;1006;44000;91750;;;6
Block;060371810001007;06;037;1810.00;1007;44000;91750;;;6
Block;060371810001008;06;037;1810.00;1008;44000;91750;;;6
Block;060371810001009;06;037;1810.00;1009;44000;91750;;;6
Block;060371810001010;06;037;1810.00;1010;44000;91750;;;6
Block;060371810001011;06;037;1810.00;1011;44000;91750;;;6
Block;060371810001012;06;037;1810.00;1012;44000;91750;;;6
Block;060371810001013;06;037;1810.00;1013;44000;91750;;;6
Block;060371810001014;06;037;1810.00;1014;44000;91750;;;6
Block;060371810001015;06;037;1810.00;1015;44000;91750;;;6
Block;060371810001016;06;037;1810.00;1016;44000;91750;;;6
Block;060371810001017;06;037;1810.00;1017;44000;91750;;;6
Block;060371810001018;06;037;1810.00;1018;44000;91750;;;6
Block;060371810001019;06;037;1810.00;1019;44000;91750;;;6
Block;060371810001020;06;037;1810.00;1020;44000;91750;;;6
Block;060371810001021;06;037;1810.00;1021;44000;91750;;;6
Block;060371810001022;06;037;1810.00;1022;44000;91750;;;6
Block;060371810001023;06;037;1810.00;1023;44000;91750;;;6
Block;060371810001024;06;037;1810.00;1024;44000;91750;;;6
Block;060371810001025;06;037;1810.00;1025;44000;91750;;;6
Block;060371810001026;06;037;1810.00;1026;44000;91750;;;6
Block;060371810001027;06;037;1810.00;1027;44000;91750;;;6
Block;060371810001028;06;037;1810.00;1028;44000;91750;;;6
Block;060371810001029;06;037;1810.00;1029;44000;91750;;;6
Block;060371810001030;06;037;1810.00;1030;44000;91750;;;6
Block;060371810001031;06;037;1810.00;1031;44000;91750;;;6
Block;060371810001032;06;037;1810.00;1032;44000;91750;;;6
Block;060371810001033;06;037;1810.00;1033;44000;91750;;;6
Block;060371810001034;06;037;1810.00;1034;44000;91750;;;6
Block;060371810001035;06;037;1810.00;1035;44000;91750;;;6
Block;060371810002000;06;037;1810.00;2000;44000;91750;;;5
Block;060371810002001;06;037;1810.00;2001;44000;91750;;;5
Block;060371810002002;06;037;1810.00;2002;44000;91750;;;5
Block;060371810002003;06;037;1810.00;2003;44000;91750;;;5
Block;060371810002004;06;037;1810.00;2004;44000;91750;;;5
Block;060371810002005;06;037;1810.00;2005;44000;91750;;;5
Block;060371810002006;06;037;1810.00;2006;44000;91750;;;5
Block;060371810002007;06;037;1810.00;2007;44000;91750;;;5
Block;060371810002008;06;037;1810.00;2008;44000;91750;;;5
Block;060371810002009;06;037;1810.00;2009;44000;91750;;;5
Block;060371810002010;06;037;1810.00;2010;44000;91750;;;5
Block;060371810002011;06;037;1810.00;2011;44000;91750;;;5
Block;060371810002012;06;037;1810.00;2012;44000;91750;;;5
Block;060371810002013;06;037;1810.00;2013;44000;91750;;;5
Block;060371810002014;06;037;1810.00;2014;44000;91750;;;5
Block;060371810002015;06;037;1810.00;2015;44000;91750;;;5
Block;060371810002016;06;037;1810.00;2016;44000;91750;;;5
Block;060371810002017;06;037;1810.00;2017;44000;91750;;;5
Block;060371810002018;06;037;1810.00;2018;44000;91750;;;5
Block;060371810002019;06;037;1810.00;2019;44000;91750;;;5
Block;060371810002020;06;037;1810.00;2020;44000;91750;;;5
Block;060371810002021;06;037;1810.00;2021;44000;91750;;;5
Block;060371810002022;06;037;1810.00;2022;44000;91750;;;5
Block;060371810003000;06;037;1810.00;3000;44000;91750;;;5
Block;060371810003001;06;037;1810.00;3001;44000;91750;;;5
Block;060371810003002;06;037;1810.00;3002;44000;91750;;;5
Block;060371810003003;06;037;1810.00;3003;44000;91750;;;5
Block;060371810003004;06;037;1810.00;3004;44000;91750;;;5
Block;060371810003005;06;037;1810.00;3005;44000;91750;;;5
Block;060371810003006;06;037;1810.00;3006;44000;91750;;;5
Block;060371810003007;06;037;1810.00;3007;44000;91750;;;5
Block;060371810003008;06;037;1810.00;3008;44000;91750;;;5
Block;060371810003009;06;037;1810.00;3009;44000;91750;;;5
Block;060371810003010;06;037;1810.00;3010;44000;91750;;;5
Block;060371810004000;06;037;1810.00;4000;44000;91750;;;6
Block;060371810004001;06;037;1810.00;4001;44000;91750;;;6
Block;060371810004002;06;037;1810.00;4002;44000;91750;;;6
Block;060371810004003;06;037;1810.00;4003;44000;91750;;;6
Block;060371810004004;06;037;1810.00;4004;44000;91750;;;6
Block;060371810004005;06;037;1810.00;4005;44000;91750;;;6
Block;060371810004006;06;037;1810.00;4006;44000;91750;;;6
Block;060371810004007;06;037;1810.00;4007;44000;91750;;;6
Block;060371810004008;06;037;1810.00;4008;44000;91750;;;6
Block;060371810004009;06;037;1810.00;4009;44000;91750;;;6
Block;060371810004010;06;037;1810.00;4010;44000;91750;;;6
Block;060371810004011;06;037;1810.00;4011;44000;91750;;;6
Block;060371810004012;06;037;1810.00;4012;44000;91750;;;6
Block;060371810005000;06;037;1810.00;5000;44000;91750;;;5,6
Block;060371810005001;06;037;1810.00;5001;44000;91750;;;6
Block;060371810005002;06;037;1810.00;5002;44000;91750;;;6
Block;060371810005003;06;037;1810.00;5003;44000;91750;;;5
Block;060371810005004;06;037;1810.00;5004;44000;91750;;;5
Block;060371810005005;06;037;1810.00;5005;44000;91750;;;5
Block;060371810005006;06;037;1810.00;5006;44000;91750;;;5
Block;060371810005007;06;037;1810.00;5007;44000;91750;;;5,6
Block;060371810005008;06;037;1810.00;5008;44000;91750;;;5
Block;060371810005009;06;037;1810.00;5009;44000;91750;;;5,6
Block;060371810005010;06;037;1810.00;5010;44000;91750;;;6
Block;060371810005011;06;037;1810.00;5011;44000;91750;;;6
Block;060371810005012;06;037;1810.00;5012;44000;91750;;;6
Block;060371810005013;06;037;1810.00;5013;44000;91750;;;6
Block;060371810005014;06;037;1810.00;5014;44000;91750;;;6
Block;060371810005015;06;037;1810.00;5015;44000;91750;;;5,6
Block;060371810005016;06;037;1810.00;5016;44000;91750;;;6
Block;060371813001000;06;037;1813.00;1000;44000;91750;;;5
Block;060371813001001;06;037;1813.00;1001;44000;91750;;;5
Block;060371813001002;06;037;1813.00;1002;44000;91750;;;5
Block;060371813001003;06;037;1813.00;1003;44000;91750;;;5
Block;060371813001004;06;037;1813.00;1004;44000;91750;;;5
Block;060371813001005;06;037;1813.00;1005;44000;91750;;;5
Block;060371813001006;06;037;1813.00;1006;44000;91750;;;5
Block;060371813001007;06;037;1813.00;1007;44000;91750;;;5
Block;060371813001008;06;037;1813.00;1008;44000;91750;;;5
Block;060371813001009;06;037;1813.00;1009;44000;91750;;;5
Block;060371813002000;06;037;1813.00;2000;44000;91750;;;5
Block;060371813002001;06;037;1813.00;2001;44000;91750;;;5
Block;060371813002002;06;037;1813.00;2002;44000;91750;;;5
Block;060371813002003;06;037;1813.00;2003;44000;91750;;;5
Block;060371813002004;06;037;1813.00;2004;44000;91750;;;5
Block;060371813002005;06;037;1813.00;2005;44000;91750;;;5
Block;060371813002006;06;037;1813.00;2006;44000;91750;;;5
Block;060371813002007;06;037;1813.00;2007;44000;91750;;;5
Block;060371813002008;06;037;1813.00;2008;44000;91750;;;5
Block;060371813002009;06;037;1813.00;2009;44000;91750;;;5
Block;060371813002010;06;037;1813.00;2010;44000;91750;;;5
Block;060371813002011;06;037;1813.00;2011;44000;91750;;;5
Block;060371813002012;06;037;1813.00;2012;44000;91750;;;5
Block;060371813003000;06;037;1813.00;3000;44000;91750;;;5
Block;060371813003001;06;037;1813.00;3001;44000;91750;;;5
Block;060371813003002;06;037;1813.00;3002;44000;91750;;;5
Block;060371813003003;06;037;1813.00;3003;44000;91750;;;5
Block;060371813003004;06;037;1813.00;3004;44000;91750;;;5
Block;060371813003005;06;037;1813.00;3005;44000;91750;;;5
Block;060371813003006;06;037;1813.00;3006;44000;91750;;;5
Block;060371813003007;06;037;1813.00;3007;44000;91750;;;5
Block;060371813003008;06;037;1813.00;3008;44000;91750;;;5
Block;060371813003009;06;037;1813.00;3009;44000;91750;;;5
Block;060371813003010;06;037;1813.00;3010;44000;91750;;;5
Block;060371813003011;06;037;1813.00;3011;44000;91750;;;5
Block;060371813003012;06;037;1813.00;3012;44000;91750;;;5
Block;060371813003013;06;037;1813.00;3013;44000;91750;;;5
Block;060371813003014;06;037;1813.00;3014;44000;91750;;;5
Block;060371814001000;06;037;1814.00;1000;44000;91750;;;6
Block;060371814001001;06;037;1814.00;1001;44000;91750;;;6
Block;060371814001002;06;037;1814.00;1002;44000;91750;;;6
Block;060371814001003;06;037;1814.00;1003;44000;91750;;;6
Block;060371814001004;06;037;1814.00;1004;44000;91750;;;5,6
Block;060371814001005;06;037;1814.00;1005;44000;91750;;;5,6
Block;060371814001006;06;037;1814.00;1006;44000;91750;;;6
Block;060371814001007;06;037;1814.00;1007;44000;91750;;;6
Block;060371814001008;06;037;1814.00;1008;44000;91750;;;5,6
Block;060371814001009;06;037;1814.00;1009;44000;91750;;;6
Block;060371814002000;06;037;1814.00;2000;44000;91750;;;5
Block;060371814002001;06;037;1814.00;2001;44000;91750;;;5
Block;060371814002002;06;037;1814.00;2002;44000;91750;;;5
Block;060371814002003;06;037;1814.00;2003;44000;91750;;;5
Block;060371814002004;06;037;1814.00;2004;44000;91750;;;5
Block;060371814002005;06;037;1814.00;2005;44000;91750;;;5
Block;060371814002006;06;037;1814.00;2006;44000;91750;;;5
Block;060371814002007;06;037;1814.00;2007;44000;91750;;;5
Block;060371814002008;06;037;1814.00;2008;44000;91750;;;5
Block;060371814002009;06;037;1814.00;2009;44000;91750;;;5
Block;060371814003000;06;037;1814.00;3000;44000;91750;;;5
Block;060371814003001;06;037;1814.00;3001;44000;91750;;;5
Block;060371814003002;06;037;1814.00;3002;44000;91750;;;5
Block;060371814003003;06;037;1814.00;3003;44000;91750;;;5
Block;060371814003004;06;037;1814.00;3004;44000;91750;;;5
Block;060371814003005;06;037;1814.00;3005;44000;91750;;;5
Block;060371814003006;06;037;1814.00;3006;44000;91750;;;5
Block;060371814003007;06;037;1814.00;3007;44000;91750;;;5
Block;060371814003008;06;037;1814.00;3008;44000;91750;;;5
Block;060371814003009;06;037;1814.00;3009;44000;91750;;;5
Block;060371814003010;06;037;1814.00;3010;44000;91750;;;5
Block;060371814003011;06;037;1814.00;3011;44000;91750;;;5
Block;060371814003012;06;037;1814.00;3012;44000;91750;;;5
Block;060371814003013;06;037;1814.00;3013;44000;91750;;;5
Block;060371814003014;06;037;1814.00;3014;44000;91750;;;5
Block;060371814003015;06;037;1814.00;3015;44000;91750;;;5
Block;060371814003016;06;037;1814.00;3016;44000;91750;;;5
Block;060371814003017;06;037;1814.00;3017;44000;91750;;;5
Block;060371815001000;06;037;1815.00;1000;44000;91750;;;6
Block;060371815001001;06;037;1815.00;1001;44000;91750;;;6
Block;060371815001002;06;037;1815.00;1002;44000;91750;;;6
Block;060371815001003;06;037;1815.00;1003;44000;91750;;;6
Block;060371815001004;06;037;1815.00;1004;44000;91750;;;6
Block;060371815001005;06;037;1815.00;1005;44000;91750;;;6
Block;060371815001006;06;037;1815.00;1006;44000;91750;;;6
Block;060371815001007;06;037;1815.00;1007;44000;91750;;;6
Block;060371815001008;06;037;1815.00;1008;44000;91750;;;6
Block;060371815001009;06;037;1815.00;1009;44000;91750;;;6
Block;060371815001010;06;037;1815.00;1010;44000;91750;;;6
Block;060371815001011;06;037;1815.00;1011;44000;91750;;;6
Block;060371815001012;06;037;1815.00;1012;44000;91750;;;6
Block;060371815001013;06;037;1815.00;1013;44000;91750;;;6
Block;060371815002000;06;037;1815.00;2000;44000;91750;;;6
Block;060371815002001;06;037;1815.00;2001;44000;91750;;;6
Block;060371815002002;06;037;1815.00;2002;44000;91750;;;6
Block;060371815002003;06;037;1815.00;2003;44000;91750;;;6
Block;060371815002004;06;037;1815.00;2004;44000;91750;;;6
Block;060371815002005;06;037;1815.00;2005;44000;91750;;;6
Block;060371815002006;06;037;1815.00;2006;44000;91750;;;6
Block;060371815002007;06;037;1815.00;2007;44000;91750;;;6
Block;060371815002008;06;037;1815.00;2008;44000;91750;;;6
Block;060371815002009;06;037;1815.00;2009;44000;91750;;;6
Block;060371815002010;06;037;1815.00;2010;44000;91750;;;6
Block;060371815002011;06;037;1815.00;2011;44000;91750;;;6
Block;060371815002012;06;037;1815.00;2012;44000;91750;;;6
Block;060371815002013;06;037;1815.00;2013;44000;91750;;;6
Block;060371815003000;06;037;1815.00;3000;44000;91750;;;6
Block;060371815003001;06;037;1815.00;3001;44000;91750;;;6
Block;060371815003002;06;037;1815.00;3002;44000;91750;;;6
Block;060371815003003;06;037;1815.00;3003;44000;91750;;;6
Block;060371815003004;06;037;1815.00;3004;44000;91750;;;6
Block;060371815003005;06;037;1815.00;3005;44000;91750;;;6
Block;060371815003006;06;037;1815.00;3006;44000;91750;;;6
Block;060371815003007;06;037;1815.00;3007;44000;91750;;;6
Block;060371815003008;06;037;1815.00;3008;44000;91750;;;6
Block;060371815003009;06;037;1815.00;3009;44000;91750;;;6
Block;060371815003010;06;037;1815.00;3010;44000;91750;;;6
Block;060371815003011;06;037;1815.00;3011;44000;91750;;;6
Block;060371815003012;06;037;1815.00;3012;44000;91750;;;6
Block;060371815003013;06;037;1815.00;3013;44000;91750;;;6
Block;060371816001000;06;037;1816.00;1000;44000;91750;;;6
Block;060371816001001;06;037;1816.00;1001;44000;91750;;;5,6
Block;060371816001002;06;037;1816.00;1002;44000;91750;;;5
Block;060371816001003;06;037;1816.00;1003;44000;91750;;;5
Block;060371816001004;06;037;1816.00;1004;44000;91750;;;5
Block;060371816001005;06;037;1816.00;1005;44000;91750;;;5
Block;060371816001006;06;037;1816.00;1006;44000;91750;;;5,6
Block;060371816001007;06;037;1816.00;1007;44000;91750;;;5
Block;060371816001008;06;037;1816.00;1008;44000;91750;;;5
Block;060371816001009;06;037;1816.00;1009;44000;91750;;;5
Block;060371816001010;06;037;1816.00;1010;44000;91750;;;5,6
Block;060371816001011;06;037;1816.00;1011;44000;91750;;;5
Block;060371816001012;06;037;1816.00;1012;44000;91750;;;5
Block;060371816001013;06;037;1816.00;1013;44000;91750;;;5
Block;060371816001014;06;037;1816.00;1014;44000;91750;;;5
Block;060371816001015;06;037;1816.00;1015;44000;91750;;;5
Block;060371816002000;06;037;1816.00;2000;44000;91750;;;5
Block;060371816002001;06;037;1816.00;2001;44000;91750;;;5
Block;060371816002002;06;037;1816.00;2002;44000;91750;;;5
Block;060371816002003;06;037;1816.00;2003;44000;91750;;;5
Block;060371816002004;06;037;1816.00;2004;44000;91750;;;5
Block;060371816002005;06;037;1816.00;2005;44000;91750;;;5
Block;060371816002006;06;037;1816.00;2006;44000;91750;;;5
Block;060371816002007;06;037;1816.00;2007;44000;91750;;;5
Block;060371816002008;06;037;1816.00;2008;44000;91750;;;5
Block;060371816002009;06;037;1816.00;2009;44000;91750;;;5
Block;060371816002010;06;037;1816.00;2010;44000;91750;;;5
Block;060371816002011;06;037;1816.00;2011;44000;91750;;;5
Block;060371816002012;06;037;1816.00;2012;44000;91750;;;5
Block;060371816002013;06;037;1816.00;2013;44000;91750;;;5
Block;060371831011000;06;037;1831.01;1000;44000;91750;;;6
Block;060371831011001;06;037;1831.01;1001;44000;91750;;;6
Block;060371831011002;06;037;1831.01;1002;44000;91750;;;6
Block;060371831011003;06;037;1831.01;1003;44000;91750;;;6
Block;060371831011004;06;037;1831.01;1004;44000;91750;;;6
Block;060371831011005;06;037;1831.01;1005;44000;91750;;;6
Block;060371831011006;06;037;1831.01;1006;44000;91750;;;6
Block;060371831011007;06;037;1831.01;1007;44000;91750;;;6
Block;060371831011008;06;037;1831.01;1008;44000;91750;;;6
Block;060371831011009;06;037;1831.01;1009;44000;91750;;;6
Block;060371831011010;06;037;1831.01;1010;44000;91750;;;6
Block;060371831011011;06;037;1831.01;1011;44000;91750;;;6
Block;060371831011012;06;037;1831.01;1012;44000;91750;;;6
Block;060371831012000;06;037;1831.01;2000;44000;91750;;;6
Block;060371831012001;06;037;1831.01;2001;44000;91750;;;6
Block;060371831012002;06;037;1831.01;2002;44000;91750;;;6
Block;060371831012003;06;037;1831.01;2003;44000;91750;;;6
Block;060371831012004;06;037;1831.01;2004;44000;91750;;;6
Block;060371831012005;06;037;1831.01;2005;44000;91750;;;6
Block;060371831012006;06;037;1831.01;2006;44000;91750;;;6
Block;060371831012007;06;037;1831.01;2007;44000;91750;;;6
Block;060371831012008;06;037;1831.01;2008;44000;91750;;;6
Block;060371831012009;06;037;1831.01;2009;44000;91750;;;6
Block;060371831013000;06;037;1831.01;3000;44000;91750;;;6
Block;060371831013001;06;037;1831.01;3001;44000;91750;;;6
Block;060371831013002;06;037;1831.01;3002;44000;91750;;;6
Block;060371831013003;06;037;1831.01;3003;44000;91750;;;6
Block;060371831013004;06;037;1831.01;3004;44000;91750;;;6
Block;060371831013005;06;037;1831.01;3005;44000;91750;;;6
Block;060371831013006;06;037;1831.01;3006;44000;91750;;;6
Block;060371831013007;06;037;1831.01;3007;44000;91750;;;6
Block;060371831013008;06;037;1831.01;3008;44000;91750;;;6
Block;060371831013009;06;037;1831.01;3009;44000;91750;;;6
Block;060371831013010;06;037;1831.01;3010;44000;91750;;;6
Block;060371831013011;06;037;1831.01;3011;44000;91750;;;6
Block;060371831013012;06;037;1831.01;3012;44000;91750;;;6
Block;060371831013013;06;037;1831.01;3013;44000;91750;;;6
Block;060371831031000;06;037;1831.03;1000;44000;91750;;;6
Block;060371831031001;06;037;1831.03;1001;44000;91750;;;6
Block;060371831031002;06;037;1831.03;1002;44000;91750;;;6
Block;060371831031003;06;037;1831.03;1003;44000;91750;;;6
Block;060371831031004;06;037;1831.03;1004;44000;91750;;;6
Block;060371831031005;06;037;1831.03;1005;44000;91750;;;6
Block;060371831031006;06;037;1831.03;1006;44000;91750;;;6
Block;060371831031007;06;037;1831.03;1007;44000;91750;;;6
Block;060371831031008;06;037;1831.03;1008;44000;91750;;;6
Block;060371831031009;06;037;1831.03;1009;44000;91750;;;6
Block;060371831031010;06;037;1831.03;1010;44000;91750;;;6
Block;060371831031011;06;037;1831.03;1011;44000;91750;;;6
Block;060371831031012;06;037;1831.03;1012;44000;91750;;;6
Block;060371831031013;06;037;1831.03;1013;44000;91750;;;6
Block;060371831031014;06;037;1831.03;1014;44000;91750;;;6
Block;060371831031015;06;037;1831.03;1015;44000;91750;;;6
Block;060371831031016;06;037;1831.03;1016;44000;91750;;;6
Block;060371831031017;06;037;1831.03;1017;44000;91750;;;6
Block;060371831031018;06;037;1831.03;1018;44000;91750;;;6
Block;060371831031019;06;037;1831.03;1019;44000;91750;;;6
Block;060371831032000;06;037;1831.03;2000;44000;91750;;;6
Block;060371831032001;06;037;1831.03;2001;44000;91750;;;6
Block;060371831032002;06;037;1831.03;2002;44000;91750;;;6
Block;060371831032003;06;037;1831.03;2003;44000;91750;;;6
Block;060371831032004;06;037;1831.03;2004;44000;91750;;;6
