TYPE;FULLCODE;STATE;COUNTY;TRACT;BLOCK;PLACE;COUSUB;CONCITY;AIANNH;SHEETS
Block;360050001000001;36;005;1.00;0001;51000;08510;;;10,15
Block;360050001000002;36;005;1.00;0002;51000;08510;;;10,15
Block;360050001001000;36;005;1.00;1000;51000;08510;;;10,15
Block;360050001001001;36;005;1.00;1001;51000;08510;;;10,15
Block;360050001001002;36;005;1.00;1002;51000;08510;;;10,15
Block;360050001001003;36;005;1.00;1003;51000;08510;;;10,15
Block;360050002000001;36;005;2.00;0001;51000;08510;;;10
Block;360050002001000;36;005;2.00;1000;51000;08510;;;10
Block;360050002001001;36;005;2.00;1001;51000;08510;;;10
Block;360050002001002;36;005;2.00;1002;51000;08510;;;10
Block;360050002001003;36;005;2.00;1003;51000;08510;;;10
Block;360050002001004;36;005;2.00;1004;51000;08510;;;10
Block;360050002001005;36;005;2.00;1005;51000;08510;;;10
Block;360050002002000;36;005;2.00;2000;51000;08510;;;10
Block;360050002002001;36;005;2.00;2001;51000;08510;;;10
Block;360050002002002;36;005;2.00;2002;51000;08510;;;10
Block;360050002002003;36;005;2.00;2003;51000;08510;;;10
Block;360050002002004;36;005;2.00;2004;51000;08510;;;10
Block;360050002002005;36;005;2.00;2005;51000;08510;;;10
Block;360050002002006;36;005;2.00;2006;51000;08510;;;10
Block;360050002002007;36;005;2.00;2007;51000;08510;;;10
Block;360050002002008;36;005;2.00;2008;51000;08510;;;10
Block;360050002003000;36;005;2.00;3000;51000;08510;;;10
Block;360050002003001;36;005;2.00;3001;51000;08510;;;10
Block;360050002003002;36;005;2.00;3002;51000;08510;;;10
Block;360050002003003;36;005;2.00;3003;51000;08510;;;C1
Block;360050002003004;36;005;2.00;3004;51000;08510;;;C1
Block;360050002003005;36;005;2.00;3005;51000;08510;;;C1
Block;360050002003006;36;005;2.00;3006;51000;08510;;;C1
Block;360050002003007;36;005;2.00;3007;51000;08510;;;10
Block;360050002003008;36;005;2.00;3008;51000;08510;;;C1
Block;360050002003009;36;005;2.00;3009;51000;08510;;;C1
Block;360050002003010;36;005;2.00;3010;51000;08510;;;C1
Block;360050002003011;36;005;2.00;3011;51000;08510;;;C1
Block;360050002003012;36;005;2.00;3012;51000;08510;;;C1
Block;360050002003013;36;005;2.00;3013;51000;08510;;;C1
Block;360050002003014;36;005;2.00;3014;51000;08510;;;C1
Block;360050002003015;36;005;2.00;3015;51000;08510;;;C1
Block;360050002003016;36;005;2.00;3016;51000;08510;;;C1
Block;360050002003017;36;005;2.00;3017;51000;08510;;;C1
Block;360050002003018;36;005;2.00;3018;51000;08510;;;C1
Block;360050002003019;36;005;2.00;3019;51000;08510;;;C1
Block;360050002003020;36;005;2.00;3020;51000;08510;;;C1
Block;360050002003021;36;005;2.00;3021;51000;08510;;;C1
Block;360050002003022;36;005;2.00;3022;51000;08510;;;C1
Block;360050002003023;36;005;2.00;3023;51000;08510;;;C1
Block;360050002003024;36;005;2.00;3024;51000;08510;;;C1
Block;360050002003025;36;005;2.00;3025;51000;08510;;;C1
Block;360050002003026;36;005;2.00;3026;51000;08510;;;C1
Block;360050004000001;36;005;4.00;0001;51000;08510;;;11
Block;360050004000002;36;005;4.00;0002;51000;08510;;;10,11
Block;360050004001000;36;005;4.00;1000;51000;08510;;;10
Block;360050004001001;36;005;4.00;1001;51000;08510;;;10
Block;360050004001002;36;005;4.00;1002;51000;08510;;;10
